Titulo,Artista,Year,Genero,Estado,pais,stilo
Adele (3) - Adele Live 2016 Tour,Adele (3),2017,"['Funk / Soul', 'Pop']",Accepted,Europe,['Vocal']
Die Original Wiener Buam - Adele,Die Original Wiener Buam,0,"['Pop', 'Folk, World, & Country']",Accepted,Switzerland,['Schlager']
Adele (3) - Adele Live 2016 Tour,Adele (3),2017,"['Funk / Soul', 'Pop']",Accepted,Europe,['Vocal']
Die Original Wiener Buam - Adele / Sanitätsgefreiter Neumann,Die Original Wiener Buam,0,['Pop'],Accepted,Austria,['Schlager']
Die Original Wiener Buam - Adele,Die Original Wiener Buam,0,"['Pop', 'Folk, World, & Country']",Accepted,Germany,['Schlager']
"Chris & Chris - Trimm Dich, Adele",Chris & Chris,1972,['Pop'],Accepted,Germany,['Schlager']
"Adèle Bloemendaal, Frans Ehlhart - Adèle's Keus",Adèle Bloemendaal,1983,['Pop'],Accepted,Netherlands,"['Vocal', 'Ballad']"
Soukous Gang Musika - Beatrice Adele,Soukous Gang Musika,1992,"['Folk, World, & Country']",Accepted,UK,['Afrobeat']
Various - Bossa N' Adele - The Electro-Bossa Songbook Of Adele,Various,2022,"['Jazz', 'Latin']",Accepted,Europe,"['Bossa Nova', 'Smooth Jazz']"
Adele Maffina - Adele Maffina,Adele Maffina,1968,['Pop'],Accepted,Romania,"['Schlager', 'Vocal']"
Adele (3) - Someone Like You (Remixes),Adele (3),2012,['Electronic'],Accepted,UK,"['House', 'Deep House', 'Dubstep', 'Euro House']"
Adele (3) - Someone Like You (Remixes),Adele (3),2012,['Electronic'],Accepted,UK,"['House', 'Deep House', 'Dubstep', 'Euro House']"
Adèle Bloemendaal - De Dolste van Adèle,Adèle Bloemendaal,1974,"['Folk, World, & Country']",Accepted,Netherlands,
Adele (3) - 21,Adele (3),2011,"['Jazz', 'Funk / Soul', 'Blues', 'Pop']",Accepted,Europe,"['Acoustic', 'Piano Blues', 'Neo Soul']"
Adele (3) - 25,Adele (3),2015,"['Funk / Soul', 'Blues', 'Pop']",Accepted,Europe,"['Ballad', 'Neo Soul', 'Piano Blues']"
Adèle Bloemendaal - Adèle Bloemendaal,Adèle Bloemendaal,1969,"['Folk, World, & Country']",Accepted,Netherlands,
Adele (3) - Someone Like You (Remixes),Adele (3),2012,['Electronic'],Accepted,UK,"['House', 'Deep House', 'Dubstep', 'Euro House']"
Die Schock-Kings - Das War Die Lady Chatterley / Adele,Die Schock-Kings,1962,['Pop'],Accepted,Germany,"['Chanson', 'Schlager']"
Adele (3) - Set Fire To The Rain (Remixes),Adele (3),2012,['Electronic'],Accepted,UK,['House']
Madelaine (4) - Sister Adele Dominique And Ten Other Songs,Madelaine (4),0,"['Folk, World, & Country']",Accepted,US,['Folk']
Adele (3) - 19,Adele (3),2008,"['Jazz', 'Funk / Soul', 'Blues', 'Pop']",Accepted,Europe,"['Soul-Jazz', 'Acoustic', 'Piano Blues', 'Neo Soul']"
Pierre Perret (2) - Moi J'Attends Adele / Sale Puce A Chien / La Beresina...,Pierre Perret (2),1974,['Pop'],Accepted,France,['Ballad']
Adele (3) - Rolling In The Deep (The Remixes),Adele (3),2011,"['Electronic', 'Hip Hop']",Accepted,Unknown,"['House', 'Deep House', 'Dubstep', 'Euro House']"
Adele (3) - 21,Adele (3),2011,"['Funk / Soul', 'Blues', 'Pop']",Accepted,US,"['Acoustic', 'Piano Blues', 'Neo Soul']"
Adele (3) - 19,Adele (3),2008,"['Funk / Soul', 'Pop']",Accepted,US,"['Ballad', 'Neo Soul']"
Adele (3) - 21,Adele (3),2015,"['Funk / Soul', 'Blues', 'Pop']",Accepted,Europe,"['Acoustic', 'Piano Blues', 'Neo Soul']"
Adele (3) - 25,Adele (3),2015,"['Funk / Soul', 'Blues', 'Pop']",Accepted,US,"['Ballad', 'Neo Soul', 'Piano Blues']"
Tamba (2) Featuring Miloud - Oh Adele,Tamba (2),1994,['Electronic'],Accepted,Germany,['Euro House']
Adele (3) - 30,Adele (3),2021,"['Funk / Soul', 'Blues', 'Pop']",Accepted,Europe,"['Ballad', 'Neo Soul', 'Piano Blues']"
Adele (3) - Someone Like You / Rolling In The Deep,Adele (3),2011,['Electronic'],Accepted,UK,['House']
Adele (3) - 19,Adele (3),2018,"['Funk / Soul', 'Pop']",Accepted,US,"['Ballad', 'Neo Soul']"
Adele (3) - 30,Adele (3),2021,"['Funk / Soul', 'Blues', 'Pop']",Accepted,US,"['Ballad', 'Neo Soul', 'Piano Blues']"
Adele (3) - 21,Adele (3),2020,"['Jazz', 'Funk / Soul', 'Blues', 'Pop']",Accepted,USA & Europe,"['Soul-Jazz', 'Acoustic', 'Piano Blues', 'Neo Soul']"
Adèle Bloemendaal - Door Het Dolle Met Adèle,Adèle Bloemendaal,1977,['Pop'],Accepted,Netherlands,"['Levenslied', 'Schlager']"
"Madelaine (4) - Sister Adele, Dominique, Ten Other Songs",Madelaine (4),1963,"['Folk, World, & Country']",Accepted,US,"['Folk', 'Acoustic']"
Blondl - Adele,Blondl,0,"['Pop', 'Folk, World, & Country']",Accepted,Austria,"['Volksmusik', 'Schlager', 'Parody']"
Adele (3) - 30,Adele (3),2021,"['Funk / Soul', 'Blues', 'Pop']",Accepted,US,"['Soul', 'Piano Blues']"
Adele (3) - 30,Adele (3),2021,"['Funk / Soul', 'Blues', 'Pop']",Accepted,Europe,"['Ballad', 'Neo Soul', 'Piano Blues', 'Vocal']"
Adele (3) - Someone Like You (Remixes),Adele (3),2012,['Electronic'],Accepted,UK,"['House', 'Deep House', 'Dubstep', 'Euro House']"
Jean-Pierre Ferland - Ste. Adèle P.Q. ,Jean-Pierre Ferland,1969,['Pop'],Accepted,Canada,['Chanson']
Adele (3) - 25,Adele (3),2020,"['Funk / Soul', 'Blues', 'Pop']",Accepted,"UK, Europe & US","['Ballad', 'Neo Soul', 'Piano Blues']"
Tito Puente And His Orchestra - Adele,Tito Puente And His Orchestra,0,['Latin'],Accepted,Italy,"['Mambo', 'Salsa']"
Adele (3) - Skyfall Remixes,Adele (3),2012,"['Electronic', 'Pop', 'Stage & Screen']",Accepted,Germany,"['Ballad', 'Soundtrack', 'Downtempo', 'Future Jazz']"
Adele (3) - 30,Adele (3),2021,"['Jazz', 'Pop']",Accepted,US,['Soul-Jazz']
Adele (3) - 30,Adele (3),2021,['Pop'],Accepted,US,"['Ballad', 'Vocal']"
Adele (3) - Skyfall,Adele (3),2012,"['Funk / Soul', 'Pop', 'Stage & Screen']",Accepted,UK & Europe,"['Ballad', 'Soundtrack']"
Adele (3) - Skyfall Remixes,Adele (3),2012,"['Electronic', 'Pop', 'Stage & Screen']",Accepted,Germany,"['Ballad', 'Soundtrack', 'Downtempo', 'Future Jazz', 'Downtempo']"
Adele (3) - 30,Adele (3),2021,"['Funk / Soul', 'Blues', 'Pop']",Accepted,Europe,"['Ballad', 'Neo Soul', 'Piano Blues']"
Madelaine (4) - Sister Adele Dominique Ten Other Songs,Madelaine (4),1963,"['Folk, World, & Country']",Accepted,US,['Folk']
Adele (3) - Skyfall Remixes,Adele (3),2012,"['Electronic', 'Pop', 'Stage & Screen']",Accepted,Germany,"['Ballad', 'Soundtrack', 'Downtempo', 'Future Jazz', 'Downtempo']"
Adele (3) - Set Fire To The Rain (Remixes),Adele (3),2012,['Electronic'],Accepted,UK,['House']
Adele (3) - 30,Adele (3),2021,"['Funk / Soul', 'Blues', 'Pop']",Accepted,Europe,"['Ballad', 'Neo Soul', 'Piano Blues']"
Adele (3) - 25,Adele (3),2015,"['Funk / Soul', 'Blues', 'Pop']",Accepted,US,"['Ballad', 'Neo Soul', 'Piano Blues']"
Adele (3) - Rolling In The Deep (Jamie XX Shuffle),Adele (3),2011,"['Electronic', 'Pop']",Accepted,UK,['Experimental']
Adele (3) - Hometown Glory Remixes By High Contrast,Adele (3),2008,['Electronic'],Accepted,UK,['Drum n Bass']
Adele (3) - 30,Adele (3),2021,"['Funk / Soul', 'Blues', 'Pop']",Accepted,Unknown,"['Ballad', 'Neo Soul', 'Piano Blues']"
Adèle Bloemendaal - De Dolste Van Adèle!  (12 Successen Van Adèle Bloemendaal),Adèle Bloemendaal,1983,"['Folk, World, & Country']",Accepted,Netherlands,
Madelaine (4) - Sister Adele Dominique And Ten Other Songs,Madelaine (4),1963,"['Folk, World, & Country']",Accepted,US,['Folk']
Jimmy Starr (2) - Adele / Blue Broken Heart,Jimmy Starr (2),1960,['Rock'],Accepted,US,['Rock & Roll']
Adele (3) - 30,Adele (3),2021,"['Jazz', 'Funk / Soul', 'Blues', 'Pop']",Accepted,US,"['Neo Soul', 'Ballad', 'Piano Blues', 'Contemporary R&B']"
Adele (3) - 30,Adele (3),2021,"['Jazz', 'Funk / Soul', 'Blues', 'Pop']",Accepted,Japan,"['Soul-Jazz', 'Neo Soul', 'Ballad', 'Piano Blues', 'Contemporary R&B']"
Adele (3) - 25,Adele (3),2016,"['Funk / Soul', 'Blues', 'Pop']",Accepted,Europe,"['Ballad', 'Neo Soul', 'Piano Blues']"
Adele (3) - 30,Adele (3),2021,"['Funk / Soul', 'Blues', 'Pop']",Accepted,Europe,"['Ballad', 'Neo Soul', 'Piano Blues']"
Adele (3) - Chasing Pavements,Adele (3),2008,"['Jazz', 'Pop']",Accepted,UK,"['Soul-Jazz', 'Vocal']"
Tito Rodriguez And His Orchestra* - Adele / El Baion,Tito Rodriguez & His Orchestra,1954,['Latin'],Accepted,US,
Adele (3) - Make You Feel My Love,Adele (3),2008,"['Funk / Soul', 'Pop']",Accepted,UK,['Soul']
"Pierre Perret (2) - Moi, J’attends Adèle",Pierre Perret (2),1957,['Pop'],Accepted,France,['Chanson']
Adele (3) - Hometown Glory,Adele (3),2007,"['Jazz', 'Pop']",Accepted,UK,['Soul-Jazz']
Georges Marchand - Adéle / Résultat La Boisson,Georges Marchand,0,"['Folk, World, & Country']",Accepted,Mauritius,['Séga']
