Titulo,Artista,Year,Genero,Estado,pais,stilo
Blackpink - Blackpink,Blackpink,2017,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'K-pop', 'Dance-pop', 'Electro']"
Blackpink - Blackpink,Blackpink,2017,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'K-pop', 'Dance-pop', 'Electro']"
BLACKPINK - Blackpink: The Show,BLACKPINK,2021,['Pop'],Accepted,South Korea,['K-pop']
Blackpink - Blackpink,Blackpink,2017,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'K-pop', 'Dance-pop', 'Electro']"
Blackpink - Blackpink,Blackpink,2017,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'K-pop', 'Dance-pop', 'Electro']"
BLACKPINK - Blackpink 2018 Tour In Your Area Seoul,BLACKPINK,2020,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Czech Republic,"['K-pop', 'Ballad', 'Dance-pop']"
BLACKPINK - Blackpink: The Show,BLACKPINK,2021,['Pop'],Accepted,South Korea,['K-pop']
Blackpink - Re: Blackpink,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'K-pop', 'Dance-pop', 'Electro']"
Blackpink - Blackpink,Blackpink,2017,['Pop'],Accepted,Japan,['K-pop']
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'K-pop', 'Dance-pop', 'Electro']"
Blackpink - Re: Blackpink,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'K-pop', 'Dance-pop', 'Electro']"
Blackpink - Blackpink,Blackpink,2017,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'K-pop', 'Dance-pop', 'Electro']"
BLACKPINK - Blackpink 2018 Tour In Your Area Seoul,BLACKPINK,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,South Korea,"['K-pop', 'Ballad', 'Dance-pop']"
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'Dance-pop', 'Electro', 'K-pop']"
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'Dance-pop', 'Electro', 'K-pop']"
BLACKPINK - Blackpink: The Show,BLACKPINK,2021,['Pop'],Accepted,South Korea,['K-pop']
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'Dance-pop', 'Electro', 'K-pop']"
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'K-pop', 'Dance-pop', 'Electro']"
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'Dance-pop', 'Electro', 'K-pop']"
Blackpink - Re: Blackpink,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'K-pop', 'Dance-pop', 'Electro']"
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'Dance-pop', 'Electro', 'K-pop']"
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'Dance-pop', 'Electro', 'K-pop']"
BLACKPINK - Blackpink 2018 Tour In Your Area Seoul,BLACKPINK,2020,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Czech Republic,"['K-pop', 'Ballad', 'Dance-pop']"
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'Dance-pop', 'Electro', 'K-pop']"
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'Dance-pop', 'Electro', 'K-pop']"
BLACKPINK - Blackpink In Your Area,BLACKPINK,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'Dance-pop']"
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'Dance-pop', 'Electro', 'K-pop']"
BLACKPINK - BLACKPINK Arena Tour 2018 Special Final In Kyocera Dome Osaka,BLACKPINK,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['K-pop', 'Ballad', 'J-pop', 'Synth-pop', 'Dance-pop']"
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['J-pop', 'Dance-pop', 'Electro', 'K-pop']"
BLACKPINK - Blackpink 2019-2020 World Tour In Your Area -Tokyo Dome-,BLACKPINK,2020,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['Ballad', 'Dance-pop', 'Synth-pop', 'K-pop', 'J-pop', 'Vocal', 'Electro']"
BLACKPINK - Blackpink 2018 Tour In Your Area Seoul,BLACKPINK,0,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Unknown,"['K-pop', 'Ballad', 'Dance-pop']"
Blackpink - The Album,Blackpink,2021,['Pop'],Accepted,USA & Canada,['K-pop']
BLACKPINK - Blackpink 2019-2020 World Tour In Your Area -Tokyo Dome-,BLACKPINK,2020,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['Ballad', 'Dance-pop', 'Synth-pop', 'K-pop', 'J-pop', 'Vocal', 'Electro']"
BLACKPINK - BLACKPINK Arena Tour 2018 Special Final In Kyocera Dome Osaka,BLACKPINK,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['K-pop', 'Ballad', 'J-pop', 'Synth-pop', 'Dance-pop']"
Blackpink - Blackpink In Your Area,Blackpink,2018,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Unknown,"['J-pop', 'Synth-pop']"
BLACKPINK - BLACKPINK Arena Tour 2018 Special Final In Kyocera Dome Osaka,BLACKPINK,2019,['Pop'],Accepted,Japan,['K-pop']
BLACKPINK - BLACKPINK THE MOVIE JAPAN PREMIUM EDITION,BLACKPINK,2022,['Pop'],Accepted,Japan,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2023,"['Electronic', 'Hip Hop', 'Pop']",Accepted,South Korea,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2023,['Pop'],Accepted,Europe,['K-pop']
BLACKPINK - The Album,BLACKPINK,2020,['Pop'],Accepted,South Korea,['K-pop']
BLACKPINK - Kill This Love / Square Up,BLACKPINK,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,New Zealand,"['K-pop', 'Dance-pop']"
BLACKPINK - Square Up,BLACKPINK,2018,['Pop'],Accepted,South Korea,['K-pop']
BLACKPINK - Square Up,BLACKPINK,2018,"['Electronic', 'Pop']",Accepted,South Korea,['K-pop']
BLACKPINK - Kill This Love,BLACKPINK,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,South Korea,"['Dance-pop', 'Drum n Bass', 'Dub', 'Electro', 'K-pop', 'Synth-pop', 'Minimal Techno', 'Bassline', 'Ballad']"
BLACKPINK - The Album,BLACKPINK,2020,['Pop'],Accepted,Europe,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2023,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Worldwide,['K-pop']
BLACKPINK - Kill This Love / Square Up,BLACKPINK,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,New Zealand,"['K-pop', 'Dance-pop']"
BLACKPINK - The Album ,BLACKPINK,2020,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,"['K-pop', 'Synth-pop', 'Pop Rap', 'Dance-pop']"
BLACKPINK - Kill This Love,BLACKPINK,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,South Korea,"['Dance-pop', 'Drum n Bass', 'Dub', 'Electro', 'K-pop', 'Synth-pop', 'Minimal Techno', 'Bassline', 'Ballad']"
