Titulo,Artista,Year,Genero,Estado,pais,stilo
Matthew Dear - Bunny,Matthew Dear,2018,['Electronic'],Accepted,USA & Europe,"['Leftfield', 'Dance-pop', 'Indie Rock']"
Matthew Dear - Bunny,Matthew Dear,2018,['Electronic'],Accepted,USA & Europe,"['Leftfield', 'Dance-pop', 'Indie Rock']"
Matthew Dear - Bunny,Matthew Dear,2018,['Electronic'],Accepted,USA & Europe,"['Leftfield', 'Dance-pop', 'Indie Rock']"
Bad Bunny - Un Verano Sin Ti,Bad Bunny,2022,"['Electronic', 'Hip Hop', 'Reggae', 'Latin', 'Pop']",Accepted,South America,"['Reggaeton', 'Trap', 'Synth-pop', 'House', 'Reggae', 'Merengue', 'Latin']"
Bad Bunny - X 100PRE,Bad Bunny,2019,"['Hip Hop', 'Latin']",Accepted,US,"['Trap', 'Reggaeton']"
Bad Bunny - El Último Tour Del Mundo,Bad Bunny,2022,"['Hip Hop', 'Latin']",Accepted,US,['Trap']
Bad Bunny - Bad Bunny,Bad Bunny,2019,"['Hip Hop', 'Latin']",Accepted,Chile,"['Trap', 'Reggaeton']"
Voice Mail* / Chico (2) - Bad Man / Bunny Hop,Voicemail,2004,['Reggae'],Accepted,Jamaica,['Dancehall']
Bad Bunny - Anniversary Trilogy Box Set,Bad Bunny,2021,"['Hip Hop', 'Latin', 'Pop']",Accepted,Unknown,['Reggaeton']
Bad Bunny - X 100PRE,Bad Bunny,2019,"['Hip Hop', 'Latin']",Accepted,US,"['Trap', 'Reggaeton']"
"Bunny Lee, Various - Bunny Lee Presents Bam Bam",Bunny Lee,1992,['Reggae'],Accepted,UK,['Dancehall']
"Major Lazer Ft. Camila Cabello, Travis Scott (2) & Quavo - Know No Better (Bad Bunny Remix)",Major Lazer,2017,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Sweden,"['Trap', 'Hip Hop', 'Chillwave', 'Dance-pop']"
Bad Bunny - YHLQMDLG,Bad Bunny,2020,"['Hip Hop', 'Latin']",Accepted,Unknown,"['Reggaeton', 'Trap']"
Bad Bunny - Un Verano Sin Ti,Bad Bunny,2022,"['Electronic', 'Hip Hop', 'Reggae', 'Latin', 'Pop']",Accepted,US,"['Reggaeton', 'Trap', 'Synth-pop', 'House', 'Reggae', 'Mambo', 'Latin']"
Mister Goblin - Bunny,Mister Goblin,2022,['Rock'],Accepted,US,['Indie Rock']
Bad Bunny - YHLQMDLG,Bad Bunny,2020,['Latin'],Accepted,Unknown,['Reggaeton']
Bad Bunny - Singles,Bad Bunny,2019,['Hip Hop'],Accepted,Europe,['Trap']
Flourgan* & Sanchez - Mi Love Mi Girl Bad,Flourgon,1988,['Reggae'],Accepted,Jamaica,['Dancehall']
Bad Bunny - X 100PRE,Bad Bunny,2019,"['Hip Hop', 'Latin']",Accepted,US,"['Trap', 'Reggaeton']"
Wayne Junior - Police And Bad Boy,Wayne Junior,2007,['Reggae'],Accepted,US,['Dancehall']
16B / 92% - Hop Bunny,16B,2018,['Electronic'],Accepted,UK,"['Minimal', 'Tech House']"
Bunny General - Love Reggae Music Bad,Bunny General,2020,['Reggae'],Accepted,UK,"['Ragga', 'Dancehall', 'Dub']"
Bad Bunny - YHLQMDLG,Bad Bunny,2020,"['Hip Hop', 'Reggae', 'Latin']",Accepted,Unknown,"['Reggaeton', 'Reggae-Pop']"
Bad Bunny - El Último Tour Del Mundo,Bad Bunny,2020,"['Hip Hop', 'Latin']",Accepted,Unknown,['Trap']
Bad Bunny - X 100PRE,Bad Bunny,2018,"['Hip Hop', 'Latin']",Accepted,Unknown,"['Trap', 'Reggaeton']"
J. Balvin & Bad Bunny - Oasis,J. Balvin,2019,"['Latin', 'Pop']",Accepted,US,['Reggaeton']
Al Campbell - Bad Boy,Al Campbell,1984,['Reggae'],Accepted,UK,"['Roots Reggae', 'Lovers Rock']"
Ruby Braff - Hi-Fi Salute To Bunny,Ruby Braff,1957,['Jazz'],Accepted,US,['Swing']
Clint Eastwood & General Saint* - Two Bad D.J.,Clint Eastwood And General Saint,1981,['Reggae'],Accepted,UK,['Dancehall']
Bunny General & King Kong - Big Bad Sound,Bunny General,2002,['Reggae'],Accepted,Jamaica,"['Dancehall', 'Reggae']"
Charles Wilp - Michelangelo In Space - The Bunny Remixes,Charles Wilp,2000,"['Electronic', 'Jazz']",Accepted,Germany,"['Techno', 'House', 'Big Beat', 'Easy Listening', 'IDM', 'Space-Age', 'Downtempo']"
Bad Bunny - Un Verano Sin Ti,Bad Bunny,2022,"['Electronic', 'Hip Hop', 'Reggae', 'Latin', 'Pop']",Accepted,Unknown,"['Reggaeton', 'Trap', 'Synth-pop', 'House', 'Reggae', 'Merengue', 'Latin']"
Bickley - Kiss The Bunny,Bickley,1998,['Rock'],Accepted,US,['Punk']
J. Balvin & Bad Bunny - Oasis,J. Balvin,2019,"['Latin', 'Pop']",Accepted,US,['Reggaeton']
Tenor Saw - Bad Bwoy,Tenor Saw,0,['Reggae'],Accepted,UK,"['Dancehall', 'Dub']"
Sly & Robbie Meet Bunny Lee - Sly & Robbie Meet Bunny Lee At Dub Station,Sly & Robbie,2002,['Reggae'],Accepted,UK,['Dub']
Johnny Clark* - Bad Days Are Going Away,Johnny Clarke,1978,['Reggae'],Accepted,Jamaica,"['Roots Reggae', 'Dub']"
Bad Bunny - YHLQMDLG,Bad Bunny,2022,"['Hip Hop', 'Reggae', 'Latin']",Accepted,US,"['Reggaeton', 'Reggae-Pop']"
Bunnie And Rickey* - Too Bad Bull,Bunny & Ricky,1975,['Reggae'],Accepted,UK,['Roots Reggae']
Derrick Morgan - Seven Letters / Too Bad,Derrick Morgan,1969,['Reggae'],Accepted,UK,['Reggae']
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,US,['Roots Reggae']
Bunny & Ricky - Two Bad Bull,Bunny & Ricky,1975,['Reggae'],Accepted,UK,['Roots Reggae']
Johnny Clarke - Bad Days / Crazy Bald Head,Johnny Clarke,2003,['Reggae'],Accepted,UK,"['Dub', 'Dancehall']"
Dennis Brown - Bad Love Affair,Dennis Brown,2004,['Reggae'],Accepted,France,['Reggae']
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,UK,
"Clive ""Azul"" Hunt* - Bad Bad Bad (""Golden Age"" Reggae From A Legendary Producer)",Clive Hunt,2020,['Reggae'],Accepted,US,"['Reggae', 'Roots Reggae']"
Bunny General & King Kong - Big Bad Sound,Bunny General,0,['Reggae'],Accepted,Jamaica,
Sextiger - Kill The Bunny,Sextiger,2013,['Rock'],Accepted,Austria,
Bad Bunny - Anniversary Trilogy Box Set,Bad Bunny,2021,['Latin'],Draft,Unknown,['Reggaeton']
Bad Bunny - YHLQMDLG,Bad Bunny,2020,"['Hip Hop', 'Latin']",Accepted,Unknown,"['Reggaeton', 'Trap']"
Ruby Braff - Hi-Fi Salute To Bunny,Ruby Braff,2007,['Jazz'],Accepted,US,['Swing']
Bad Bunny - Las Que No Iban A Salir,Bad Bunny,2020,"['Hip Hop', 'Latin']",Accepted,Unknown,"['Reggaeton', 'Trap']"
Bad Bunny - Un Verano Sin Ti,Bad Bunny,2022,"['Electronic', 'Hip Hop', 'Reggae', 'Latin', 'Pop']",Accepted,Chile,"['Reggaeton', 'Trap', 'Synth-pop', 'House', 'Reggae', 'Latin', 'Mambo']"
Bunny Wailer - Protest,Bunny Wailer,0,['Reggae'],Accepted,UK,['Roots Reggae']
J. Balvin & Bad Bunny - Oasis,J. Balvin,2019,"['Latin', 'Pop']",Accepted,US,['Reggaeton']
Derrick Morgan - Too Bad,Derrick Morgan,0,['Reggae'],Accepted,Jamaica,['Roots Reggae']
John Whitehead - I Need Money Bad,John Whitehead,1988,['Funk / Soul'],Accepted,US,"['Soul', 'Funk']"
