Titulo,Artista,Year,Genero,Estado,pais,stilo
Camilo (7) - Mis Manos,Camilo (7),2021,"['Latin', 'Pop']",Accepted,Unknown,['Reggaeton']
Camilo (7) - Por Primera Vez,Camilo (7),2020,"['Latin', 'Pop']",Accepted,US,['Reggaeton']
Dani Martín - Lo Que Me Dé La Gana,Dani Martín,2020,"['Rock', 'Pop']",Accepted,Spain,['Pop Rock']
Dani Martín - Lo Que Me Dé La Gana,Dani Martín,2021,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Camilo (7) • Shakira • Pedro Capo* - Tutu (Remix),Camilo (7),2019,['Latin'],Accepted,Europe,['Reggaeton']
Dani Martín - Lo Que Me Dé La Gana,Dani Martín,2020,"['Rock', 'Latin', 'Pop']",Accepted,Spain,['Pop Rock']
Dani Martín - La Mentira,Dani Martín,2020,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Dani Martín - Lo Que Me Dé La Gana,Dani Martín,2020,"['Rock', 'Latin', 'Pop']",Accepted,Europe,['Pop Rock']
Bad Bunny - X 100PRE,Bad Bunny,2019,"['Hip Hop', 'Latin']",Accepted,US,"['Trap', 'Reggaeton']"
Camilo (7) - Favorito,Camilo (7),2020,['Latin'],Accepted,US,['Reggaeton']
Matisse (20) - Tres,Matisse (20),2020,"['Latin', 'Pop']",Accepted,Mexico,
Sebastián Yatra - Fantasía,Sebastián Yatra,0,"['Latin', 'Pop']",Accepted,US,"['Reggaeton', 'Vocal']"
David Bisbal - Bulería,David Bisbal,2004,"['Latin', 'Pop']",Accepted,Spain,"['Europop', 'Ballad']"
Ha*Ash - 30 De Febrero,Ha*Ash,2017,"['Latin', 'Pop']",Accepted,Mexico,
Anitta - Solo,Anitta,2018,"['Latin', 'Pop']",Accepted,Europe,['Reggaeton']
Gloria Trevi - Diosa De La Noche - En Vivo Desde La Arena Ciudad De México,Gloria Trevi,2020,"['Latin', 'Pop']",Accepted,Mexico,
Amaury Gutierrez* - Piedras Y Flores,Amaury Gutiérrez,2001,"['Latin', 'Pop']",Accepted,Europe,
Gloria Trevi - Diosa De La Noche,Gloria Trevi,2019,"['Latin', 'Pop']",Accepted,Mexico,
David Bisbal - Bulería,David Bisbal,2004,"['Latin', 'Pop']",Accepted,US,"['Europop', 'Ballad']"
Ha*Ash - 30 De Febrero,Ha*Ash,2017,"['Latin', 'Pop']",Accepted,Colombia,
Dani Martín - Los Huesos,Dani Martín,2020,"['Rock', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,Spain,
David Bisbal - Bulería,David Bisbal,2004,"['Latin', 'Pop']",Accepted,Spain,"['Europop', 'Latin']"
Sebastián Yatra - Fantasía,Sebastián Yatra,2019,"['Latin', 'Pop']",Accepted,US,"['Reggaeton', 'Vocal']"
David Bisbal - Camina Y Ven,David Bisbal,2004,"['Latin', 'Pop']",Accepted,Spain,"['Latin', 'Europop']"
Luis Fonsi - Ley De Gravedad,Luis Fonsi,2022,['Latin'],Accepted,US,
Various - The Very Best Of Latin Flavour Club,Various,2018,"['Electronic', 'Hip Hop', 'Latin', 'Pop']",Accepted,Europe,"['Ethno-pop', 'Europop', 'Reggaeton', 'RnB/Swing', 'Dance-pop']"
David Bisbal - Camina Y Ven,David Bisbal,2004,"['Latin', 'Pop']",Accepted,US,"['Latin', 'Europop']"
Kany García - Mesa Para Dos,Kany García,2020,"['Latin', 'Pop']",Accepted,US,
David Bisbal - Bulería,David Bisbal,2006,"['Latin', 'Pop']",Accepted,Argentina,"['Europop', 'Ballad']"
Mariangel JJJJ x Leona De La Roca - Sin Pijama (Versión Cumbia),Mariangel JJJJ,2018,['Latin'],Accepted,US,['Cumbia']
José Luis Rodríguez El Puma* - Inmenso,José Luis Rodríguez,2017,"['Latin', 'Pop']",Accepted,US,['Ballad']
Sebastián Yatra - Fantasía,Sebastián Yatra,2019,"['Latin', 'Pop']",Accepted,Chile,"['Reggaeton', 'Vocal']"
Gloria Trevi - Diosa De La Noche,Gloria Trevi,2019,"['Latin', 'Pop']",Accepted,Mexico,
Ha*Ash - 30 De Febrero,Ha*Ash,2017,"['Latin', 'Pop']",Accepted,Argentina,
Thalía - Desamorfosis,Thalía,2021,"['Latin', 'Pop']",Accepted,Mexico,
"JonTheProducer, Mau y Ricky, Prince Royce, Piso 21 - Doctor",JonTheProducer,2021,['Latin'],Accepted,Worldwide,['Reggaeton']
David Bisbal - Bulería,David Bisbal,2005,"['Latin', 'Pop']",Accepted,US,"['Europop', 'Ballad']"
Gloria Trevi / Karol G - Hijoepu*#,Gloria Trevi,2019,"['Latin', 'Pop']",Accepted,Unknown,['Reggaeton']
Pablo Alborán - La Cuarta Hoja,Pablo Alborán,2022,"['Latin', 'Pop']",Accepted,Spain,
Kraken (8) - Huella & Camino - En Vivo,Kraken (8),2005,['Rock'],Accepted,Colombia,"['Hard Rock', 'Prog Rock']"
Mariangel JJJJ x Leona De La Roca - Sin Pijama (Versión Reggaeton),Mariangel JJJJ,2018,['Latin'],Accepted,US,['Reggaeton']
Paulina Rubio - Border Girl,Paulina Rubio,2002,"['Electronic', 'Hip Hop', 'Rock', 'Latin', 'Pop']",Accepted,Europe,"['RnB/Swing', 'House', 'Latin', 'Pop Rock', 'Tejano']"
Pechos Boys - Los Grandes...,Pechos Boys,2022,['Latin'],Accepted,US,"['Reggaeton', 'Cumbia']"
Pedro y Sus Piedras* - Fiësta Del Macarena De Bogotá,Pedro y Las Piedras,0,['Latin'],Accepted,US,['Cumbia']
Various - El Disco Del Año ¡Que No Pare La Fiesta!,Various,2019,['Latin'],Accepted,Colombia,"['Salsa', 'Merengue', 'Cumbia', 'Reggaeton', 'Vallenato']"
S.T.E - Espirales,S.T.E,2013,['Rock'],Accepted,Colombia,['Power Pop']
Paulina Rubio - Border Girl,Paulina Rubio,2002,"['Electronic', 'Hip Hop', 'Rock', 'Latin', 'Pop']",Accepted,Brazil,"['RnB/Swing', 'House', 'Latin', 'Pop Rock', 'Tejano']"
José Luis Rodríguez El Puma* - Inmenso,José Luis Rodríguez,2017,"['Latin', 'Pop']",Accepted,Argentina,['Ballad']
