Titulo,Artista,Year,Genero,Estado,pais,stilo
Carlos Vives - Vives,Carlos Vives,2017,"['Hip Hop', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,US,['Reggaeton']
Carlos Vives - Vives,Carlos Vives,2017,"['Latin', 'Pop', 'Folk, World, & Country']",Accepted,Colombia,
Carlos Vives - Vives,Carlos Vives,2017,"['Latin', 'Pop', 'Folk, World, & Country']",Accepted,Europe,
Carlos Vives - Carlos Vives + Amigos Desde El Estadio El Campín De Bogotá,Carlos Vives,2016,"['Rock', 'Latin', 'Pop']",Accepted,Spain,['Vallenato']
Carlos Vives - Clásicos De La Provincia,Carlos Vives,1993,['Latin'],Accepted,Colombia,"['Cumbia', 'Vallenato']"
Carlos Vives - Clásicos De La Provincia,Carlos Vives,1993,['Latin'],Accepted,Colombia,"['Cumbia', 'Vallenato']"
Carlos Vives - La Tierra Del Olvido,Carlos Vives,1995,['Latin'],Accepted,Colombia,['Vallenato']
Carlos Vives - Carlos Vives + Amigos Desde El Estadio El Campín De Bogotá,Carlos Vives,2016,"['Rock', 'Latin', 'Pop']",Accepted,Colombia,['Vallenato']
Carlos Vives - Carlos Vives + Amigos Desde El Estadio El Campín De Bogotá,Carlos Vives,2016,"['Rock', 'Latin', 'Pop']",Accepted,Colombia,['Vallenato']
Carlos Vives - Como Tu (The Paul Oakenfold Remixes),Carlos Vives,2004,['Electronic'],Accepted,UK,"['Trance', 'Latin']"
Carlos Vives - Clásicos De La Provincia,Carlos Vives,1993,['Latin'],Accepted,Spain,"['Cumbia', 'Vallenato']"
Carlos Vives - La Gota Fria,Carlos Vives,1993,"['Electronic', 'Latin']",Accepted,Spain,"['Cumbia', 'Vallenato', 'House']"
Carlos Vives - Escalona - Un Canto A La Vida,Carlos Vives,1991,['Latin'],Accepted,Colombia,['Vallenato']
Carlos Vives - El Amor De Mi Tierra,Carlos Vives,1999,"['Latin', 'Folk, World, & Country']",Accepted,Colombia,"['Cumbia', 'Rumba', 'Vallenato']"
Carlos Vives - Pá Mayté,Carlos Vives,1995,"['Latin', 'Pop']",Accepted,Spain,
Carlos Vives - Cumbiana,Carlos Vives,2020,"['Latin', 'Pop', 'Folk, World, & Country']",Accepted,US,['Cumbia']
Carlos Vives - La Gota Fria,Carlos Vives,1993,"['Latin', 'Pop']",Accepted,Spain,"['Cumbia', 'Vallenato']"
Carlos Vives - Clásicos De La Provincia,Carlos Vives,1993,['Latin'],Accepted,Spain,"['Cumbia', 'Vallenato']"
Carlos Vives - La Gota Fria '95 Remixes,Carlos Vives,1994,"['Electronic', 'Latin', 'Pop']",Accepted,US,"['Cumbia', 'Vallenato', 'House']"
Carlos Vives - Tengo Fe,Carlos Vives,1997,"['Latin', 'Folk, World, & Country']",Accepted,US,['Vallenato']
Laura Pausini - Las Cosas Que Vives.,Laura Pausini,1996,"['Rock', 'Pop']",Accepted,US,"['Soft Rock', 'Ballad']"
Carlos Vives - Como Tú (The Paul Oakenfold Remixes),Carlos Vives,2004,['Electronic'],Accepted,US,"['Trance', 'Latin']"
Carlos Vives - Escalona Volumen 2,Carlos Vives,1992,['Latin'],Accepted,Colombia,['Vallenato']
Carlos Vives - El Amor De Mi Tierra,Carlos Vives,1999,['Latin'],Accepted,US,"['Cumbia', 'Rumba']"
Carlos Vives - La Tierra Del Olvido,Carlos Vives,1995,['Latin'],Accepted,Colombia,"['Cumbia', 'Pop Rock', 'Vallenato']"
Carlos Vives - La Gota Fria,Carlos Vives,1993,"['Electronic', 'Latin']",Accepted,Spain,"['Cumbia', 'Vallenato', 'House']"
Carlos Vives - Clásicos De La Provincia,Carlos Vives,1993,['Latin'],Accepted,Venezuela,"['Cumbia', 'Vallenato']"
Carlos Vives - El Rock De Mi Pueblo,Carlos Vives,2004,"['Latin', 'Pop']",Accepted,US,['Vallenato']
Carlos Vives - La Tierra Del Olvido,Carlos Vives,1995,['Latin'],Accepted,Spain,['Vallenato']
Carlos Vives - La Tierra Del Olvido,Carlos Vives,1995,['Latin'],Accepted,Venezuela,['Vallenato']
Carlos Vives - La Tierra Del Olvido,Carlos Vives,1995,['Latin'],Accepted,Mexico,"['Cumbia', 'Pop Rock', 'Vallenato']"
Carlos Vives - Clasicos De La Provincia,Carlos Vives,1993,['Latin'],Accepted,US,
Carlos Vives - Tengo Fe,Carlos Vives,1997,['Latin'],Accepted,Colombia,['Vallenato']
Carlos Vives - Fruta Fresca + Remixes,Carlos Vives,2000,"['Electronic', 'Latin', 'Pop']",Accepted,Unknown,"['Euro House', 'Tech House']"
Carlos Vives - Como Tú (The Robbie Rivera Remixes),Carlos Vives,2004,['Electronic'],Accepted,US,['House']
Carlos Vives - Déjame Entrar,Carlos Vives,2001,['Latin'],Accepted,Europe,['Cumbia']
Carlos Vives - Corazón Profundo,Carlos Vives,2013,['Latin'],Accepted,USA & Canada,
Carlos Vives - El Amor De Mi Tierra,Carlos Vives,1999,['Latin'],Accepted,Colombia,"['Cumbia', 'Vallenato']"
Carlos Vives - La Tierra Del Olvido,Carlos Vives,1995,['Latin'],Accepted,Colombia,['Vallenato']
Carlos Vives - Como Tú (Paul Oakenfold Remixes),Carlos Vives,2004,['Electronic'],Accepted,US,"['Trance', 'Latin']"
Carlos Vives - Tengo Fe,Carlos Vives,1997,['Latin'],Accepted,Colombia,['Vallenato']
