Titulo,Artista,Year,Genero,Estado,pais,stilo
Daddy Yankee - The Best Of Daddy Yankee,Daddy Yankee,0,"['Hip Hop', 'Reggae', 'Latin']",Accepted,US,"['Reggaeton', 'Dancehall']"
Daddy Yankee - El Cartel De Yankee,Daddy Yankee,1997,"['Hip Hop', 'Reggae', 'Latin']",Accepted,Puerto Rico,['Reggaeton']
Daddy Yankee - Who's Your Daddy?,Daddy Yankee,2007,['Latin'],Accepted,US,['Reggaeton']
Daddy Yankee - LegenDaddy,Daddy Yankee,2023,"['Reggae', 'Latin']",Accepted,US,"['Reggaeton', 'Rumba', 'Trap', 'Guaracha']"
Daddy Yankee - Best Of Daddy Yankee,Daddy Yankee,0,['Latin'],Accepted,US,['Reggaeton']
Daddy Yankee - LegenDaddy,Daddy Yankee,2023,"['Hip Hop', 'Latin', 'Pop']",Accepted,Canada,"['Reggaeton', 'Rumba', 'Trap', 'Guaracha']"
Daddy Yankee - Gasolina,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,Europe,['Reggaeton']
Daddy Yankee - LegenDaddy,Daddy Yankee,2023,"['Hip Hop', 'Latin', 'Pop']",Accepted,US,"['Reggaeton', 'Rumba', 'Trap', 'Guaracha']"
Daddy Yankee - LegenDaddy,Daddy Yankee,2022,"['Hip Hop', 'Latin', 'Pop']",Accepted,Unknown,"['Reggaeton', 'Rumba', 'Trap', 'Guaracha']"
Daddy Yankee - Gasolina,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,UK,['Reggaeton']
Daddy Yankee - Rompe,Daddy Yankee,2006,['Latin'],Accepted,US,['Reggaeton']
Daddy Yankee - El Cartel De Yankee,Daddy Yankee,1997,"['Hip Hop', 'Reggae', 'Latin']",Accepted,Puerto Rico,['Reggaeton']
Daddy Yankee - Impacto,Daddy Yankee,2007,"['Hip Hop', 'Latin']",Accepted,US,['Reggaeton']
Daddy Yankee - Gasolina,Daddy Yankee,2005,"['Electronic', 'Hip Hop', 'Latin']",Accepted,Europe,['Reggaeton']
Daddy Yankee - Barrio Fino,Daddy Yankee,2004,"['Hip Hop', 'Reggae', 'Latin']",Accepted,US,['Reggaeton']
"Daddy Yankee - Lo Que Paso, Paso",Daddy Yankee,2005,"['Electronic', 'Latin']",Accepted,Europe,['Reggaeton']
"Daddy Yankee - Lo Que Paso, Paso",Daddy Yankee,2005,"['Electronic', 'Latin']",Accepted,Europe,['Reggaeton']
Daddy Yankee - Rompe (Remix),Daddy Yankee,2006,['Latin'],Accepted,US,['Reggaeton']
Daddy Yankee - Barrio Fino En Directo,Daddy Yankee,2005,['Latin'],Accepted,US,['Reggaeton']
Daddy Yankee - Barrio Fino,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,Europe,['Reggaeton']
Daddy Yankee - LegenDaddy,Daddy Yankee,2022,"['Hip Hop', 'Latin', 'Pop']",Accepted,US,"['Reggaeton', 'Rumba', 'Trap', 'Guaracha']"
Daddy Yankee - Gasolina,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,UK,['Reggaeton']
Yankee* - No Mercy,Daddy Yankee,1995,"['Hip Hop', 'Reggae', 'Latin']",Accepted,Puerto Rico,['Reggaeton']
Daddy Yankee - El Cartel: The Big Boss,Daddy Yankee,2007,['Latin'],Accepted,US,['Reggaeton']
Daddy Yankee - Gangsta Zone / Machete Reloaded,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,US,['Reggaeton']
Daddy Yankee - El Cangri.com,Daddy Yankee,2002,"['Hip Hop', 'Reggae', 'Latin']",Accepted,Puerto Rico,"['Reggaeton', 'Trap']"
Daddy Yankee - El Cartel II: Los Cangris,Daddy Yankee,2001,"['Hip Hop', 'Reggae', 'Latin']",Accepted,Puerto Rico,"['Reggaeton', 'Gangsta']"
Daddy Yankee - Barrio Fino,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,Europe,['Reggaeton']
"Janet Jackson, Daddy Yankee - Made For Now",Janet Jackson,2019,"['Electronic', 'Reggae', 'Latin', 'Funk / Soul']",Accepted,US,"['Dancehall', 'Reggae-Pop', 'Afrobeat', 'House']"
Daddy Yankee / N.O.R.E. - Gasolina / In A Minute,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,US,
Daddy Yankee - Gangsta Zone / Machete Reloaded,Daddy Yankee,2006,['Hip Hop'],Accepted,US,['Ragga HipHop']
Daddy Yankee - Rompe,Daddy Yankee,2005,['Latin'],Accepted,Europe,['Reggaeton']
Daddy Yankee - Gasolina,Daddy Yankee,2005,"['Electronic', 'Hip Hop', 'Latin']",Accepted,Europe,['Reggaeton']
Daddy Yankee - Ahora Le Toca Al Cangri Daddy Yankee Live In DVD '03,Daddy Yankee,2005,"['Latin', 'Pop']",Accepted,US,['Reggaeton']
Daddy Yankee - Barrio Fino,Daddy Yankee,2004,"['Hip Hop', 'Reggae', 'Latin', 'Pop']",Accepted,Puerto Rico,"['Gangsta', 'Hardcore Hip-Hop', 'Conscious', 'Reggaeton', 'RnB/Swing', 'Salsa']"
Daddy Yankee - Talento De Barrio (Original Motion Picture Soundtrack),Daddy Yankee,2008,"['Electronic', 'Hip Hop', 'Reggae', 'Latin']",Accepted,US,"['RnB/Swing', 'House', 'Reggaeton', 'Vallenato', 'Pop Rap']"
Daddy Yankee - Rompe,Daddy Yankee,2006,['Latin'],Accepted,Europe,['Reggaeton']
Daddy Yankee - El Cartel: The Big Boss,Daddy Yankee,2007,['Latin'],Accepted,Europe,['Reggaeton']
Daddy Yankee - El Cartel,Daddy Yankee,1997,['Latin'],Accepted,Puerto Rico,['Reggaeton']
Daddy Yankee + Los De La Nazza - King Daddy ,Daddy Yankee,2013,"['Hip Hop', 'Latin']",Accepted,USA & Canada,['Reggaeton']
N.O.R.E. / Daddy Yankee - Get Down / Gasolina,N.O.R.E.,2005,"['Hip Hop', 'Latin']",Accepted,US,['Reggaeton']
Jamalski / Daddy Yankee - Ragga Younglist / Gasolina (Remix),Jamalski,2006,['Electronic'],Accepted,Unknown,['Drum n Bass']
Daddy Yankee - Barrio Fino,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,Canada,['Reggaeton']
Daddy Yankee - Mundial,Daddy Yankee,2010,['Latin'],Accepted,US,['Reggaeton']
Daddy Yankee - Prestige,Daddy Yankee,2012,['Latin'],Accepted,Europe,['Reggaeton']
Yankee* - No Mercy,Daddy Yankee,1995,"['Hip Hop', 'Reggae', 'Latin']",Accepted,Puerto Rico,['Reggaeton']
Daddy Yankee - Prestige,Daddy Yankee,2012,"['Hip Hop', 'Latin']",Accepted,US,['Reggaeton']
Daddy Yankee - El Cartel II,Daddy Yankee,2001,['Latin'],Accepted,Puerto Rico,['Reggaeton']
Daddy Yankee - Con Calma & Mis Grandes Éxitos,Daddy Yankee,2019,"['Reggae', 'Latin', 'Pop']",Accepted,Europe,"['Reggaeton', 'Dancehall']"
Daddy Yankee - Plane To PR,Daddy Yankee,2007,"['Hip Hop', 'Latin']",Accepted,US,['Reggaeton']
Daddy Yankee - Plane To PR,Daddy Yankee,2007,"['Hip Hop', 'Latin']",Accepted,US,['Reggaeton']
Daddy Yankee / Don Omar - This Is Reggaeton,Daddy Yankee,2005,['Latin'],Accepted,US,['Reggaeton']
Daddy Yankee - Barrio Fino ,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,Europe,['Reggaeton']
Skullman / Lady Venus - Yankee Bubbler / Cry For De Goode Goode,Skullman,1993,"['Hip Hop', 'Reggae']",Accepted,US,"['Ragga HipHop', 'Dancehall']"
Luis Fonsi & Daddy Yankee - Despacito,Luis Fonsi,2017,"['Latin', 'Pop']",Accepted,"Germany, Austria, & Switzerland","['Latin', 'Reggaeton']"
Daddy Yankee - Gasolina,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,UK,['Reggaeton']
Pharrell* Featuring Daddy Yankee - Mamacita,Pharrell Williams,2006,['Hip Hop'],Accepted,US,
Daddy Yankee - Gasolina (Remixes),Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,Europe,['Reggaeton']
Daddy Yankee - Gasolina,Daddy Yankee,2006,"['Electronic', 'Hip Hop', 'Latin']",Accepted,Australasia,['Reggaeton']
Daddy Yankee - Barrio Fino En Directo,Daddy Yankee,2006,"['Hip Hop', 'Latin']",Accepted,Puerto Rico,"['Reggaeton', 'Mambo']"
Daddy Yankee - Los Homerun-Es Vol. 1,Daddy Yankee,2003,"['Hip Hop', 'Reggae', 'Latin']",Accepted,Puerto Rico,['Reggaeton']
Daddy Yankee - Gasolina,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,UK,['Reggaeton']
Daddy Yankee - Rompe,Daddy Yankee,2006,['Latin'],Accepted,Europe,['Reggaeton']
Daddy Yankee - Barrio Fino,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,Japan,['Reggaeton']
Daddy Yankee - El Cartel: The Big Boss,Daddy Yankee,2007,['Latin'],Accepted,US,['Reggaeton']
Daddy Yankee - Barrio Fino,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,Sweden,"['Reggaeton', 'Hardcore Hip-Hop']"
Daddy Yankee - Los Homerun-es,Daddy Yankee,2005,['Latin'],Accepted,Europe,['Reggaeton']
Daddy Yankee - Los Homerun-es,Daddy Yankee,2005,['Latin'],Accepted,US,['Reggaeton']
Daddy Yankee - LegenDaddy,Daddy Yankee,2022,"['Hip Hop', 'Latin', 'Pop']",Accepted,Europe,"['Reggaeton', 'Rumba', 'Trap', 'Guaracha']"
Daddy Yankee - Barrio Fino,Daddy Yankee,2005,"['Hip Hop', 'Reggae', 'Latin']",Accepted,Colombia,['Reggaeton']
Daddy Yankee - Rompe,Daddy Yankee,2005,['Latin'],Accepted,Europe,['Reggaeton']
Daddy Yankee - Impacto,Daddy Yankee,2007,"['Hip Hop', 'Latin']",Accepted,Europe,['Reggaeton']
Yankee* - Ahora Le Toca Al Cangri Live!,Daddy Yankee,2005,['Latin'],Accepted,Puerto Rico,['Reggaeton']
Daddy Yankee - Barrio Fino En Directo,Daddy Yankee,2005,['Latin'],Accepted,Mexico,['Reggaeton']
Luis Fonsi & Daddy Yankee Ft. Justin Bieber - Despacito (Remix),Luis Fonsi,2018,"['Latin', 'Pop']",Accepted,Czech Republic,"['Latin', 'Reggaeton']"
Daddy Yankee - Gasolina,Daddy Yankee,2005,"['Hip Hop', 'Latin']",Accepted,UK & Europe,['Reggaeton']
