Titulo,Artista,Year,Genero,Estado,pais,stilo
J. Balvin - Colores,J. Balvin,2020,['Latin'],Accepted,North America (inc Mexico),['Reggaeton']
J. Balvin - Vibras,J. Balvin,2018,['Latin'],Accepted,US,['Reggaeton']
J. Balvin - JOSE,J. Balvin,2021,"['Latin', 'Pop']",Accepted,"USA, Canada & UK",['Reggaeton']
J. Balvin - Energía Lado B,J. Balvin,2017,"['Hip Hop', 'Latin']",Accepted,US,['Reggaeton']
J. Balvin - JOSE,J. Balvin,2021,"['Latin', 'Pop']",Accepted,"USA, Canada & UK",['Reggaeton']
J. Balvin & Bad Bunny - Oasis,J. Balvin,2019,"['Latin', 'Pop']",Accepted,US,['Reggaeton']
J. Balvin - Morado / Blanco,J. Balvin,2020,"['Latin', 'Pop']",Accepted,Spain,['Reggaeton']
J. Balvin - JOSE,J. Balvin,2021,"['Latin', 'Pop']",Accepted,"USA, Canada & UK",['Reggaeton']
J. Balvin & Bad Bunny - Oasis,J. Balvin,2019,"['Latin', 'Pop']",Accepted,US,['Reggaeton']
J. Balvin - JOSE,J. Balvin,2021,"['Latin', 'Pop']",Accepted,"USA, Canada & UK",['Reggaeton']
J. Balvin - Es Nuestro Momento,J. Balvin,2017,['Latin'],Accepted,US,['Reggaeton']
J. Balvin - JOSE,J. Balvin,2021,"['Latin', 'Pop']",Accepted,"USA, Canada & UK",['Reggaeton']
Nicky Jam - Greatest Hits Vol 1.,Nicky Jam,2020,['Latin'],Accepted,US,['Reggaeton']
Dua Lipa - Future Nostalgia (The Moonlight Edition),Dua Lipa,2021,"['Electronic', 'Hip Hop', 'Latin', 'Pop']",Accepted,Worldwide,"['Synth-pop', 'Pop Rap', 'Dance-pop', 'Hip Hop', 'Latin']"
Cardi B - Invasion Of Privacy,Cardi B,2018,['Hip Hop'],Accepted,Europe,"['Pop Rap', 'Trap']"
Liam Payne - LP1,Liam Payne,2019,['Pop'],Accepted,Europe,
Liam Payne - LP1,Liam Payne,2019,['Pop'],Accepted,Europe,
Various - Pokémon 25: The Album ,Various,2022,"['Hip Hop', 'Rock', 'Pop']",Accepted,US,
Liam Payne - LP1,Liam Payne,2019,['Pop'],Accepted,US,
Liam Payne - LP1,Liam Payne,2019,['Pop'],Accepted,Europe,
Dua Lipa - Future Nostalgia (The Moonlight Edition),Dua Lipa,2021,"['Electronic', 'Hip Hop', 'Latin', 'Pop']",Accepted,"Germany, Austria, & Switzerland","['Synth-pop', 'Pop Rap', 'Dance-pop', 'Hip Hop', 'Latin']"
Beyoncé - Homecoming: The Live Album,Beyoncé,2020,"['Hip Hop', 'Funk / Soul', 'Pop']",Accepted,US,"['Contemporary R&B', 'Gospel', 'Pop Rap', 'Soul']"
Liam Payne - LP1,Liam Payne,2019,['Pop'],Accepted,Europe,
Beyoncé - Homecoming: The Live Album,Beyoncé,2020,"['Hip Hop', 'Funk / Soul', 'Pop']",Accepted,Europe,"['Contemporary R&B', 'Gospel', 'Pop Rap', 'Soul']"
Metro Boomin - Not All Heroes Wear Capes,Metro Boomin,2018,['Hip Hop'],Accepted,US,['Trap']
Liam Payne - LP1,Liam Payne,2019,['Pop'],Accepted,UK,
Black Eyed Peas - Translation,Black Eyed Peas,2020,"['Hip Hop', 'Latin', 'Pop']",Accepted,Europe,"['Trap', 'Reggaeton']"
Various - Pokémon 25: The Album ,Various,2022,['Pop'],Accepted,USA & Canada,
David Guetta - 7,David Guetta,2018,"['Electronic', 'Pop']",Accepted,Europe,"['Dance-pop', 'Electro House', 'Tropical House', 'House', 'Chiptune', 'Electro', 'Synth-pop', 'Deep House', 'Reggaeton', 'Trap', 'Tech House', 'Deep Techno']"
Metro Boomin - Not All Heroes Wear Capes,Metro Boomin,2019,['Hip Hop'],Accepted,Europe,['Trap']
Various - Pokémon 25: The Album ,Various,2022,['Pop'],Accepted,Europe,
Bad Bunny - Singles,Bad Bunny,2019,['Hip Hop'],Accepted,Europe,['Trap']
Karol G - KG0516,Karol G,2021,"['Latin', 'Pop']",Accepted,Europe,['Reggaeton']
Cardi B - I Like It,Cardi B,2018,"['Hip Hop', 'Latin']",Accepted,US,"['Trap', 'Salsa', 'Boogaloo']"
Ginebras - Dame 10:36 Minutos,Ginebras,2020,['Pop'],Accepted,Spain,['Indie Pop']
Various - The Very Best Of Latin Flavour Club,Various,2018,"['Electronic', 'Hip Hop', 'Latin', 'Pop']",Accepted,Europe,"['Ethno-pop', 'Europop', 'Reggaeton', 'RnB/Swing', 'Dance-pop']"
Justin Bieber - Sorry / Love Yourself - Remixes,Justin Bieber,2015,"['Electronic', 'Pop']",Accepted,Czech Republic,['Electro House']
Sfera Ebbasta - Famoso,Sfera Ebbasta,2020,['Hip Hop'],Accepted,Italy,['Trap']
Sfera Ebbasta - Famoso,Sfera Ebbasta,2020,['Hip Hop'],Accepted,Italy,
Nicky Jam - Íntimo,Nicky Jam,2019,['Latin'],Accepted,US,['Reggaeton']
DJ Snake - Carte Blanche,DJ Snake,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Europe,['Electro House']
Various - Fast & Furious 8: The Album,Various,2017,"['Electronic', 'Hip Hop', 'Latin', 'Stage & Screen']",Accepted,Europe,"['Reggaeton', 'Trap', 'Hip Hop', 'Soundtrack']"
Various - The Fate Of The Furious - The Album,Various,2017,"['Electronic', 'Hip Hop', 'Latin']",Accepted,US,"['Reggaeton', 'Trap']"
Cardi B - Invasion Of Privacy,Cardi B,2018,"['Hip Hop', 'Latin', 'Pop']",Accepted,US,"['Trap', 'Pop Rap']"
Sfera Ebbasta - Famoso,Sfera Ebbasta,2020,['Hip Hop'],Accepted,Italy,
Justin Bieber - Sorry / Love Yourself - Remixes,Justin Bieber,0,"['Electronic', 'Pop']",Accepted,Czech Republic,['Electro House']
Various - The Fate Of The Furious - The Album,Various,2017,"['Electronic', 'Hip Hop', 'Latin']",Accepted,US,"['Reggaeton', 'Trap']"
Various - Empik Winylove - Latino,Various,2018,['Latin'],Accepted,Poland,
DJ Khaled - Father Of Asahd,DJ Khaled,2019,['Hip Hop'],Accepted,US,
Justin Bieber - Sorry / Love Yourself - Remixes,Justin Bieber,2015,"['Electronic', 'Pop']",Accepted,Czech Republic,"['House', 'Electro House']"
Cardi B - Invasion Of Privacy,Cardi B,2018,['Hip Hop'],Accepted,US,"['Pop Rap', 'Trap']"
Various - Pokémon 25: The Album ,Various,2022,['Pop'],Accepted,USA & Canada,
Various - The Metallica Blacklist,Various,2021,['Rock'],Accepted,US,['Heavy Metal']
Various - Best Hits 04,Various,2015,['Electronic'],Accepted,Hungary,"['Euro House', 'Trance']"
De La Ghetto - Mi Movimiento,De La Ghetto,2018,"['Hip Hop', 'Latin']",Accepted,US,"['Reggaeton', 'Trap']"
Juan Gabriel - Los Dúo 2,Juan Gabriel,2016,"['Latin', 'Pop']",Accepted,US,['Ballad']
