Titulo,Artista,Year,Genero,Estado,pais,stilo
Karol G - KG0516,Karol G,2021,"['Latin', 'Pop']",Accepted,Europe,['Reggaeton']
Karol Szymanowski - Karol Szymanowski 1882-1937,Karol Szymanowski,1961,['Classical'],Accepted,Poland,"['Modern', 'Interview', 'Speech']"
Karol G - Unstoppable,Karol G,2018,"['Hip Hop', 'Latin', 'Pop']",Accepted,US,"['Reggaeton', 'Trap']"
"Karol G, Nicki Minaj - Tusa",Karol G,2020,"['Latin', 'Pop']",Accepted,Spain,['Reggaeton']
Jonas Brothers Ft. Karol G - X,Jonas Brothers,2021,"['Rock', 'Pop']",Accepted,US,
Karol G - Ocean,Karol G,2019,"['Hip Hop', 'Latin', 'Pop']",Accepted,Mexico,"['Reggaeton', 'Trap']"
Karol G - Mañana Será Bonito,Karol G,2023,"['Latin', 'Pop']",Accepted,Mexico,['Reggaeton']
Karol G - KG0516,Karol G,2021,"['Latin', 'Pop']",Accepted,US,
Jonas Brothers Ft. Karol G - X,Jonas Brothers,2020,"['Rock', 'Latin', 'Pop']",Accepted,US,
Karol G - KG0516,Karol G,2021,"['Hip Hop', 'Latin', 'Pop']",Accepted,Mexico,['Reggaeton']
Karol Duchoň - Spomienka Na Karola,Karol Duchoň,1985,['Pop'],Accepted,Czechoslovakia,"['Schlager', 'Vocal', 'Europop']"
Karol G - Unstoppable,Karol G,2017,"['Hip Hop', 'Latin', 'Pop']",Accepted,US,"['Reggaeton', 'Trap']"
Karol G - KG0516,Karol G,2021,"['Hip Hop', 'Latin', 'Pop']",Accepted,Brazil,['Reggaeton']
Karol G - Unstoppable,Karol G,2017,"['Hip Hop', 'Latin', 'Pop']",Accepted,Argentina,"['Reggaeton', 'Trap']"
Jonas Brothers Ft. Karol G - X,Jonas Brothers,2020,"['Rock', 'Pop']",Accepted,US,
J. S. Bach* — Karol Gołębiowski - Preludium Und Fuge G-Moll Etc.,Johann Sebastian Bach,1987,['Classical'],Accepted,Poland,['Baroque']
Karol G - Mañana Será Bonito,Karol G,2023,"['Latin', 'Pop']",Accepted,Worldwide,['Reggaeton']
Jonas Brothers Ft. Karol G - X,Jonas Brothers,2020,"['Rock', 'Latin', 'Pop']",Accepted,US,
"J. Haydn*, W. A. Mozart*, Kaja Danczowska, Kazimierz Moszyński, The Warsaw Philharmonic Chamber Orchestra*, Karol Teutsch - Violin Concerto In G Major / Flute Concerto In G Major K 313",Joseph Haydn,1985,['Classical'],Accepted,Poland,['Classical']
"Andrzej Stefański, Karol Szymanowski - Wszystkie Utwory Fortepianowe Vol. 2",Andrzej Stefański,1983,['Classical'],Accepted,Poland,
Karol Duchoň - Spomienka Na Karola,Karol Duchoň,1987,['Pop'],Accepted,Czechoslovakia,"['Schlager', 'Vocal', 'Europop']"
Karol Duchoň - Spomienka Na Karola,Karol Duchoň,1988,['Pop'],Accepted,Czechoslovakia,"['Schlager', 'Vocal', 'Europop']"
Chamber Orchestra Of The Warsaw Philharmonic* / Karol Teutsch - Favourite Classical Miniatures / Ulubione Miniatury Klasyczne,Warsaw Philharmonic Chamber Orchestra,0,['Classical'],Accepted,Poland,"['Baroque', 'Romantic', 'Classical']"
"Karol Szymanowski, Serge Prokofiev* - Violin Concerto No. 2",Karol Szymanowski,1967,['Classical'],Accepted,Czechoslovakia,['Modern']
"Chopin*, Trio WOSPRiTv - Trio g-moll Op.8",Frédéric Chopin,1979,['Classical'],Accepted,Poland,['Romantic']
"Karol Szymanowski - Philharmonisches Symphonieorchester Łódź (Lemberg)*, Henryk Czyź* - Karol Szymanowski Roxana's Lied Etüde B-Moll Sinfonie Nr. 2",Karol Szymanowski,1975,['Classical'],Accepted,Germany,['Modern']
Karol Berkley - First Take,Karol Berkley,2002,['Electronic'],Accepted,Spain,"['Trance', 'Techno', 'Tech House', 'Tech Trance']"
"J.S.Bach*, Karol Gołębiowski - Präludien Und Fugen BWV 544, 543, 541, 548",Johann Sebastian Bach,1988,['Classical'],Accepted,Poland,['Baroque']
Zespół Jazzowy Z. Wicharego* - G-Moll Dixieland / Karolinka I Karlik,Zespół Jazzowy Zygmunta Wicharego,0,['Jazz'],Accepted,Poland,['Swing']
"J.S.Bach*, Karol Gołębiowski - Acht Kleine Präludien Und Fugen, Pastorale",Johann Sebastian Bach,1989,['Classical'],Accepted,Poland,['Baroque']
Karol Duchoň - Čardáš Dvoch Sŕdc = Czardas Of Two Hearts,Karol Duchoň,1977,"['Rock', 'Pop', 'Folk, World, & Country']",Accepted,Czechoslovakia,"['Europop', 'Pop Rock', 'Schlager', 'Vocal']"
Chamber Orchestra Of The Warsaw Philharmonic* / Karol Teutsch - Favourite Classical Miniatures / Ulubione Miniatury Klasyczne,Warsaw Philharmonic Chamber Orchestra,0,['Classical'],Accepted,Poland,"['Baroque', 'Romantic', 'Classical']"
Ulrich Gumpert Workshop Band - Echos Von Karolinenhof,Ulrich Gumpert Workshop Band,1980,['Jazz'],Accepted,Germany,['Free Jazz']
Tiësto* & Karol G - Don't Be Shy,DJ Tiësto,2021,"['Electronic', 'Pop']",Accepted,US,['Dance-pop']
Karol G - Unstoppable,Karol G,2017,"['Hip Hop', 'Latin', 'Pop']",Accepted,Mexico,"['Reggaeton', 'Trap']"
Prokofiev* / Szymanowski* - Ladislav Jasek* / Prague Symphony Orchestra* / Martin Turnovsky* - Violin Concerto No. 2 In G / Violin Concerto No. 2,Sergei Prokofiev,1967,['Classical'],Accepted,US,['Modern']
Karol Duchoň - Elena • V Slovenských Dolinách,Karol Duchoň,1976,['Pop'],Accepted,Czechoslovakia,['Europop']
Karol Duchoň - Spomienka Na Karola,Karol Duchoň,1994,['Pop'],Accepted,Slovakia,"['Schlager', 'Vocal', 'Europop']"
Karol Szymanowski / Serge Prokofiev* - Violin Concerto No. 2,Karol Szymanowski,1965,['Classical'],Accepted,Czechoslovakia,['Modern']
Karol G - Bichota,Karol G,2020,['Latin'],Accepted,US,['Reggaeton']
"Pergolesi*, Stefania Woytowicz  Soprano , Warsaw Philharmonic Chamber Orchestra , Director Karol Teutsch - Concertino No. 1 In G Major / Salve Regina",Giovanni Battista Pergolesi,1973,['Classical'],Accepted,Poland,['Baroque']
Karol Szymanowski - Karol Szymanowski 1882-1937,Karol Szymanowski,0,['Classical'],Accepted,Poland,"['Modern', 'Interview', 'Speech']"
"Karol G - Ay, DiOs Mío!",Karol G,2020,['Latin'],Accepted,US,
Karol G - KG0516,Karol G,2021,"['Hip Hop', 'Latin', 'Pop']",Accepted,US,['Reggaeton']
Świetliki - O.gród K.oncentracyjny (dwa dni później),Świetliki,2015,['Rock'],Accepted,Poland,['Alternative Rock']
"G. F. Haendel*, Josef Bucher, Warsaw Philharmonic Chamber Orchestra, Karol Teutsch - Organ Concertos Op. 7 No 4-6",Georg Friedrich Händel,0,['Classical'],Accepted,Poland,['Baroque']
"Mozart*, Krzysztof Jakowicz, Karol Teutsch, The Warsaw Philharmonic Chamber Orchestra* - Mozart Violin Concertos (No. 3 In G Major K 216 - No 5 In A Major K 219)",Wolfgang Amadeus Mozart,0,['Classical'],Accepted,Poland,['Classical']
"David Oistrakh* – Szymanowski* / Mozart* - Violin Concerto No. 1, Op. 35 / Violin Concerto No. 3 In G Major, K. 216",David Oistrach,1960,['Classical'],Accepted,US,"['Modern', 'Classical']"
