Titulo,Artista,Year,Genero,Estado,pais,stilo
Barenaked Ladies - Maroon,Barenaked Ladies,2000,['Rock'],Accepted,US,"['Indie Rock', 'Pop Rock']"
Muslimgauze - Maroon,Muslimgauze,2018,['Electronic'],Accepted,Netherlands,"['Ambient', 'Dark Ambient', 'Tribal']"
The Webb Brothers - Maroon,The Webb Brothers,2000,['Rock'],Accepted,Europe,['Indie Rock']
Muslimgauze - Maroon,Muslimgauze,2002,['Electronic'],Accepted,Netherlands,['Experimental']
Barenaked Ladies - Maroon,Barenaked Ladies,2000,['Rock'],Accepted,Europe,['Indie Rock']
Maroon 5 - Songs About Jane,Maroon 5,2016,"['Rock', 'Pop']",Accepted,USA & Europe,['Alternative Rock']
Maroon 5 Featuring Christina Aguilera - Moves Like Jagger,Maroon 5,2011,"['Electronic', 'Pop']",Accepted,UK,['House']
Maroon 5 - Songs About Jane,Maroon 5,2002,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
The Webb Brothers - Maroon,The Webb Brothers,2000,"['Rock', 'Pop']",Accepted,UK,['Indie Rock']
Maroon 5 - Songs About Jane,Maroon 5,2016,"['Rock', 'Pop']",Accepted,Europe,['Alternative Rock']
Maroon 5 - Songs About Jane,Maroon 5,2003,"['Rock', 'Pop']",Accepted,US,
Maroon 5 - Songs About Jane,Maroon 5,2019,"['Rock', 'Pop']",Accepted,Netherlands,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
The Webb Brothers - Maroon,The Webb Brothers,2001,['Rock'],Accepted,US,['Indie Rock']
Barenaked Ladies - Maroon,Barenaked Ladies,2000,['Rock'],Accepted,Canada,['Indie Rock']
Maroon 5 - V,Maroon 5,2015,"['Rock', 'Pop']",Accepted,US,
Maroon 5 - V,Maroon 5,2014,"['Rock', 'Pop']",Accepted,US,
Maroon 5 - Songs About Jane,Maroon 5,2003,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Maroon 5 - Overexposed,Maroon 5,2016,"['Electronic', 'Rock', 'Funk / Soul', 'Pop']",Accepted,Europe,"['House', 'Pop Rock', 'Funk']"
Maroon 5 - Red Pill Blues,Maroon 5,2018,['Pop'],Accepted,US,['Pop Rock']
Maroon 5 - Songs About Jane,Maroon 5,2015,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - This Love,Maroon 5,0,"['Rock', 'Pop']",Accepted,Unknown,['Pop Rock']
Maroon 5 - Hands All Over,Maroon 5,2011,"['Rock', 'Pop']",Accepted,UK & Europe,"['Alternative Rock', 'Pop Rock']"
Maroon 5 Featuring Christina Aguilera - Moves Like Jagger Remixes,Maroon 5,2011,"['Electronic', 'Pop']",Accepted,Germany,['House']
Maroon 5 - Songs About Jane,Maroon 5,2015,"['Rock', 'Pop']",Accepted,US,
Maroon 5 - Hands All Over,Maroon 5,2016,"['Rock', 'Pop']",Accepted,Europe,"['Alternative Rock', 'Pop Rock']"
Maroon 5 - Jordi,Maroon 5,2021,['Pop'],Accepted,Europe,['Vocal']
Maroon 5 - Overexposed,Maroon 5,2012,"['Electronic', 'Rock', 'Funk / Soul', 'Pop']",Accepted,Europe,"['House', 'Pop Rock', 'Funk']"
Maroon 5 - Songs About Jane,Maroon 5,2003,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Maroon 5 - Songs About Jane,Maroon 5,2015,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - V,Maroon 5,2016,"['Rock', 'Pop']",Accepted,Europe,
Maroon 5 - It Won't Be Soon Before Long,Maroon 5,2016,"['Rock', 'Pop']",Accepted,Europe,['Alternative Rock']
Maroon 5 - It Won't Be Soon Before Long,Maroon 5,2016,"['Rock', 'Pop']",Accepted,US,['Alternative Rock']
Maroon 5 Featuring Christina Aguilera - Moves Like Jagger,Maroon 5,2011,"['Electronic', 'Pop']",Accepted,UK,['House']
Maroon 5 - Songs About Jane,Maroon 5,2004,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Maroon 5 - Songs About Jane,Maroon 5,2003,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Maroon 5 - V,Maroon 5,2014,"['Rock', 'Pop']",Accepted,Europe,
Will Long - Maroon / Pink,Will Long,2018,['Electronic'],Accepted,"UK, Europe & US","['Deep House', 'House']"
Maroon 5 - Songs About Jane,Maroon 5,2002,"['Rock', 'Pop']",Accepted,US,"['Soft Rock', 'Pop Rock']"
Maroon 5 - It Won't Be Soon Before Long,Maroon 5,2007,"['Rock', 'Pop']",Accepted,Europe,"['Soft Rock', 'Pop Rock']"
Maroon 5 - Red Pill Blues,Maroon 5,2018,['Pop'],Accepted,Europe,['Pop Rock']
Maroon 5 - Hands All Over,Maroon 5,2016,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Pop Rock']"
Maroon 5 - Maroon 5 Sampler,Maroon 5,2003,['Rock'],Accepted,Japan,
Maroon 5 - V,Maroon 5,2014,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Maroon 5 - Songs About Jane,Maroon 5,2003,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Maroon 5 - V,Maroon 5,2014,['Pop'],Accepted,Europe,
Maroon 5 - The Studio Albums,Maroon 5,2016,['Pop'],Accepted,"USA, Canada & Europe",
Maroon 5 - Overexposed,Maroon 5,2012,"['Electronic', 'Rock', 'Funk / Soul', 'Pop']",Accepted,US,"['House', 'Pop Rock', 'Funk']"
Maroon 5 - Songs About Jane,Maroon 5,2004,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Maroon 5 - It Won't Be Soon Before Long,Maroon 5,2007,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - It Won't Be Soon Before Long,Maroon 5,2007,"['Rock', 'Pop']",Accepted,UK,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - It Won't Be Soon Before Long,Maroon 5,2007,"['Rock', 'Pop']",Accepted,Europe,"['Soft Rock', 'Pop Rock']"
Maroon 5 - Songs About Jane,Maroon 5,2016,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - Songs About Jane,Maroon 5,2016,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - It Won't Be Soon Before Long,Maroon 5,2007,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - Songs About Jane,Maroon 5,2007,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Maroon 5 - Hands All Over,Maroon 5,2010,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Pop Rock']"
Maroon 5 - Songs About Jane,Maroon 5,2003,['Rock'],Accepted,Canada,
Maroon 5 - Hands All Over,Maroon 5,2010,"['Rock', 'Pop']",Accepted,Europe,"['Alternative Rock', 'Pop Rock']"
Maroon 5 - Maroon 5,Maroon 5,2010,"['Rock', 'Pop']",Accepted,Europe,
Maroon 5 - This Love,Maroon 5,2004,"['Rock', 'Pop']",Accepted,US,
Maroon 5 - This Love / Harder To Breathe,Maroon 5,2004,['Rock'],Accepted,US,['Pop Rock']
Maroon 5 - Songs About Jane,Maroon 5,2003,"['Rock', 'Pop']",Accepted,UK & Europe,['Pop Rock']
Maroon 5 - Songs About Jane,Maroon 5,2015,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - Overexposed,Maroon 5,2012,"['Electronic', 'Rock', 'Funk / Soul', 'Pop']",Accepted,US,"['House', 'Pop Rock', 'Funk']"
Maroon 5 - Red Pill Blues,Maroon 5,2018,['Pop'],Accepted,UK & US,['Pop Rock']
Maroon 5 - Jordi,Maroon 5,2021,['Pop'],Accepted,Europe,['Vocal']
Maroon 5 - It Won't Be Soon Before Long,Maroon 5,2008,"['Rock', 'Funk / Soul', 'Pop']",Accepted,Europe,"['Funk', 'Minneapolis Sound']"
"Ant, Nori* And Gustavo / Ant And Lenny Dee - Maroon 525",Ant,2006,['Electronic'],Accepted,UK,"['Techno', 'Acid']"
Maroon 5 - She Will Be Loved / Sunday Morning,Maroon 5,2004,['Rock'],Accepted,US,['Pop Rock']
Maroon 5 - Singles,Maroon 5,2015,"['Rock', 'Funk / Soul', 'Pop']",Accepted,Europe,"['Pop Rock', 'Soft Rock', 'Europop']"
Maroon 5 - Songs About Jane,Maroon 5,2003,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Maroon 5 - Songs About Jane,Maroon 5,2004,"['Rock', 'Pop']",Accepted,Europe,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - Hands All Over,Maroon 5,2010,['Rock'],Accepted,US,['Pop Rock']
Maroon 5 - It Won't Be Soon Before Long,Maroon 5,2007,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - 1.22.03.Acoustic,Maroon 5,2004,"['Rock', 'Pop']",Accepted,US,"['Acoustic', 'Pop Rock']"
Maroon 5 - This Love,Maroon 5,2004,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Maroon 5 - Memories,Maroon 5,2020,['Pop'],Accepted,USA & Europe,
Maroon 5 - Songs About Jane,Maroon 5,2022,"['Rock', 'Pop']",Accepted,USA & Europe,['Alternative Rock']
Maroon 5 - Songs About Jane,Maroon 5,2003,"['Rock', 'Pop']",Accepted,US,"['Soft Rock', 'Pop Rock']"
Maroon 5 - Red Pill Blues,Maroon 5,2017,['Pop'],Accepted,Europe,['Pop Rock']
Maroon 5 - This Love,Maroon 5,2004,"['Rock', 'Pop']",Accepted,US,
The Webb Brothers - Maroon,The Webb Brothers,2000,['Rock'],Accepted,UK,
Maroon 5 - Hands All Over,Maroon 5,2011,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Pop Rock']"
Maroon 5 - Songs About Jane (Special Edition),Maroon 5,0,"['Rock', 'Pop']",Accepted,Unknown,"['Soft Rock', 'Pop Rock']"
Maroon 5 - Red Pill Blues,Maroon 5,2017,['Pop'],Accepted,US,['Pop Rock']
Maroon 5 - Call And Response : The Remix Album,Maroon 5,2008,"['Electronic', 'Hip Hop', 'Rock', 'Pop']",Accepted,Europe,"['RnB/Swing', 'House', 'Pop Rock', 'Tech House', 'Trance']"
