Titulo,Artista,Year,Genero,Estado,pais,stilo
Miley Cyrus - Miley Cyrus & Her Dead Petz,Miley Cyrus,2018,"['Rock', 'Pop']",Accepted,Sweden,"['Psychedelic Rock', 'Experimental', 'Soft Rock', 'Pop Rock']"
Miley Cyrus - Miley Cyrus & Her Dead Petz,Miley Cyrus,2018,"['Rock', 'Pop']",Accepted,Sweden,"['Psychedelic Rock', 'Experimental', 'Soft Rock', 'Pop Rock']"
Miley Cyrus - Miley Cyrus & Her Dead Petz,Miley Cyrus,2018,"['Rock', 'Pop']",Accepted,Sweden,"['Psychedelic Rock', 'Experimental', 'Soft Rock', 'Pop Rock', 'Lo-Fi']"
Hannah Montana / Miley Cyrus - Hannah Montana 2 / Meet Miley Cyrus,Hannah Montana,2007,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,US,"['Alternative Rock', 'Country', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
Miley Cyrus - Miley Cyrus And Her Dead Petz,Miley Cyrus,2015,"['Rock', 'Pop']",Accepted,US,"['Psychedelic Rock', 'Experimental', 'Soft Rock', 'Pop Rock']"
Miley Cyrus - Miley Cyrus & Her Dead Petz,Miley Cyrus,2018,"['Rock', 'Pop']",Accepted,Sweden,"['Psychedelic Rock', 'Experimental', 'Soft Rock', 'Pop Rock']"
Miley Cyrus - Miley Cyrus & Her Dead Petz,Miley Cyrus,2022,"['Rock', 'Pop']",Accepted,Europe,"['Psychedelic Rock', 'Experimental', 'Soft Rock', 'Pop Rock']"
"Hannah Montana, Miley Cyrus - Hannah Montana 2 / Meet Miley Cyrus",Hannah Montana,2007,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,Europe,"['Alternative Rock', 'Country', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
Miley Cyrus - Miley Cyrus & Her Dead Petz,Miley Cyrus,2017,"['Rock', 'Pop']",Accepted,Unknown,"['Psychedelic Rock', 'Experimental', 'Soft Rock', 'Pop Rock']"
Miley Cyrus - Miley Cyrus & Her Dead Petz,Miley Cyrus,2022,"['Rock', 'Pop']",Accepted,Unknown,"['Psychedelic Rock', 'Pop Rock', 'Soft Rock', 'Experimental']"
Miley Cyrus - She Is Miley Cyrus,Miley Cyrus,2022,"['Hip Hop', 'Pop']",Accepted,"USA, Canada & Europe",
Miley Cyrus - Miley Cyrus & Her Dead Petz,Miley Cyrus,2020,"['Electronic', 'Rock']",Accepted,Spain,"['Experimental', 'Psychedelic Rock']"
Miley Cyrus - Miley Cyrus & Her Dead Petz,Miley Cyrus,2017,"['Rock', 'Pop']",Accepted,Unknown,"['Psychedelic Rock', 'Experimental', 'Soft Rock', 'Pop Rock']"
Miley Cyrus - Miley Cyrus And Her Dead Petz,Miley Cyrus,2015,"['Rock', 'Pop']",Accepted,Brazil,"['Psychedelic Rock', 'Experimental', 'Soft Rock', 'Pop Rock']"
Hannah Montana / Miley Cyrus - Hannah Montana 2 / Apresenta Miley Cyrus,Hannah Montana,2009,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,Brazil,"['Alternative Rock', 'Country', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
Miley Cyrus - She Is Miley Cyrus,Miley Cyrus,0,['Pop'],Accepted,Unknown,
Hannah Montana / Miley Cyrus - Hannah Montana 2 / Meet Miley Cyrus,Hannah Montana,2007,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,US,"['Alternative Rock', 'Country', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
Miley Cyrus - Artist Karaoke Series: Miley Cyrus,Miley Cyrus,2008,"['Rock', 'Pop']",Accepted,US,"['Karaoke', 'Alternative Rock', 'Pop Rock']"
Hannah Montana / Miley Cyrus - Hannah Montana 2 / Meet Miley Cyrus,Hannah Montana,2007,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,Canada,"['Alternative Rock', 'Country', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
Hannah Montana / Miley Cyrus - Hannah Montana 2 / Meet Miley Cyrus,Hannah Montana,2007,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,Mexico,"['Alternative Rock', 'Country', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
Hannah Montana / Miley Cyrus - Hannah Montana 2 / Meet Miley Cyrus,Hannah Montana,2007,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,US,"['Alternative Rock', 'Country', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
"Hannah Montana, Miley Cyrus - Hannah Montana 2 / Meet Miley Cyrus",Hannah Montana,2007,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,Europe,"['Alternative Rock', 'Country', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
Hannah Montana / Miley Cyrus - Hannah Montana 2 / Meet Miley Cyrus,Hannah Montana,2007,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,Brazil,"['Alternative Rock', 'Country', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
Miley Cyrus - Plastic Hearts,Miley Cyrus,2021,"['Rock', 'Pop']",Accepted,US,"['Arena Rock', 'Hard Rock', 'Post-Punk', 'Power Pop', 'Soft Rock', 'Pop Rock', 'Ballad']"
"Hannah Montana, Miley Cyrus - Hannah Montana 2 / Meet Miley Cyrus",Hannah Montana,2007,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,South Africa,"['Alternative Rock', 'Country', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
Miley Cyrus - Attention: Miley Live,Miley Cyrus,2022,"['Hip Hop', 'Rock', 'Folk, World, & Country']",Accepted,Unknown,"['Country', 'Soft Rock']"
Miley Cyrus - The Time Of Our Lives,Miley Cyrus,2021,"['Rock', 'Pop']",Accepted,US,['Pop Rock']
Miley Cyrus - Plastic Hearts,Miley Cyrus,2021,"['Rock', 'Pop']",Accepted,Europe,"['Arena Rock', 'Hard Rock', 'Post-Punk', 'Power Pop', 'Soft Rock', 'Pop Rock', 'Ballad']"
Miley Cyrus - Bangerz,Miley Cyrus,2017,"['Hip Hop', 'Pop']",Accepted,US,
Miley Cyrus - Breakout,Miley Cyrus,2021,"['Rock', 'Pop']",Accepted,US,"['Pop Rock', 'Pop Punk', 'Power Pop']"
Miley Cyrus - Can't Be Tamed,Miley Cyrus,2021,['Pop'],Accepted,US,['Vocal']
Miley Cyrus - Younger Now,Miley Cyrus,2018,"['Rock', 'Folk, World, & Country']",Accepted,US,"['Soft Rock', 'Country', 'Pop Rock']"
Hannah Montana / Miley Cyrus - Hannah Montana 2 / Meet Miley Cyrus,Hannah Montana,2007,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,Argentina,"['Alternative Rock', 'Country', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
"Anal Violence, Hinyouki - Miley Cyrus - Split Cdr",Anal Violence,2013,"['Electronic', 'Non-Music']",Accepted,Australia,"['Noise', 'Experimental']"
Miley Cyrus - Younger Now,Miley Cyrus,2018,"['Rock', 'Folk, World, & Country']",Accepted,Europe,"['Soft Rock', 'Pop Rock', 'Country']"
Miley Cyrus - Endless Summer Vacation,Miley Cyrus,2023,"['Rock', 'Pop']",Accepted,Europe,"['Alt-Pop', 'Pop Rock', 'Dance-pop']"
Miley Cyrus - Bangerz,Miley Cyrus,2013,"['Hip Hop', 'Pop']",Accepted,US,['Vocal']
Miley Cyrus - Endless Summer Vacation,Miley Cyrus,2023,['Pop'],Accepted,US,['Alt-Pop']
"Hannah Montana, Miley Cyrus - Hannah Montana 2 / Meet Miley Cyrus",Hannah Montana,2007,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,Europe,"['Alternative Rock', 'Country', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
Miley Cyrus - Plastic Hearts,Miley Cyrus,2021,"['Rock', 'Pop']",Accepted,Europe,"['Arena Rock', 'Post-Punk', 'Power Pop', 'Soft Rock', 'Pop Rock', 'Ballad']"
Miley Cyrus - Endless Summer Vacation,Miley Cyrus,2023,"['Rock', 'Pop']",Accepted,Europe,"['Alt-Pop', 'Pop Rock', 'Dance-pop', 'Psychedelic']"
Miley Cyrus - Endless Summer Vacation,Miley Cyrus,2023,"['Rock', 'Pop']",Accepted,US,"['Pop Rock', 'Alt-Pop']"
Miley Cyrus - The Climb,Miley Cyrus,2022,"['Pop', 'Folk, World, & Country']",Accepted,US,['Country']
Miley Cyrus - Endless Summer Vacation,Miley Cyrus,2023,"['Rock', 'Pop']",Accepted,US,"['Alt-Pop', 'Pop Rock', 'Dance-pop', 'Psychedelic']"
Miley Cyrus - Endless Summer Vacation,Miley Cyrus,2023,"['Rock', 'Pop']",Accepted,Europe,"['Alt-Pop', 'Pop Rock', 'Dance-pop', 'Psychedelic']"
Miley Cyrus - Plastic Hearts,Miley Cyrus,2020,"['Rock', 'Pop']",Accepted,Europe,"['Arena Rock', 'Power Pop', 'Soft Rock', 'Pop Rock', 'Ballad']"
Miley Cyrus - Bangerz,Miley Cyrus,2021,"['Hip Hop', 'Pop']",Accepted,US,
Miley Cyrus - Endless Summer Vacation,Miley Cyrus,2023,['Pop'],Accepted,US,['Alt-Pop']
Miley Cyrus - Plastic Hearts,Miley Cyrus,2022,"['Rock', 'Pop']",Accepted,USA & Canada,"['Arena Rock', 'Hard Rock', 'Post-Punk', 'Power Pop', 'Soft Rock', 'Pop Rock', 'Ballad']"
Miley Cyrus - The Time Of Our Lives,Miley Cyrus,2009,"['Rock', 'Pop']",Accepted,US,['Pop Rock']
Miley Cyrus - Plastic Hearts,Miley Cyrus,2020,"['Electronic', 'Rock', 'Folk, World, & Country']",Accepted,US,"['Arena Rock', 'Hard Rock', 'Soft Rock', 'Pop Rock', 'Ballad', 'Dance-pop']"
Miley Cyrus - Younger Now,Miley Cyrus,2017,"['Rock', 'Folk, World, & Country']",Accepted,Europe,"['Soft Rock', 'Country', 'Pop Rock']"
Miley Cyrus - Breakout,Miley Cyrus,2008,"['Rock', 'Pop']",Accepted,US,"['Pop Rock', 'Pop Punk', 'Power Pop']"
Miley Cyrus - Hannah Montana (The Movie),Miley Cyrus,2009,"['Rock', 'Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,US,"['Country', 'Country Rock', 'Pop Rock', 'Power Pop', 'Soundtrack']"
Miley Cyrus - The Time Of Our Lives,Miley Cyrus,2009,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Miley Cyrus - Bangerz,Miley Cyrus,2013,"['Hip Hop', 'Pop']",Accepted,Europe,
Miley Cyrus - She Is Coming,Miley Cyrus,2019,"['Hip Hop', 'Pop']",Accepted,US,
Miley Cyrus - Endless Summer Vacation,Miley Cyrus,2023,['Pop'],Accepted,Europe,['Alt-Pop']
Miley Cyrus - Bangerz,Miley Cyrus,2013,"['Hip Hop', 'Pop']",Accepted,US,
