Titulo,Artista,Year,Genero,Estado,pais,stilo
Enter Shikari - Moratorium (Broadcasts From The Interruption),Enter Shikari,2021,"['Electronic', 'Rock']",Accepted,Unknown,"['Indie Rock', 'Alternative Rock', 'Synth-pop', 'Acoustic']"
Enter Shikari - Moratorium (Broadcasts From The Interruption),Enter Shikari,2021,"['Electronic', 'Rock']",Accepted,Europe,"['Indie Rock', 'Alternative Rock', 'Synth-pop', 'Acoustic']"
Enter Shikari - Moratorium (Broadcasts From The Interruption),Enter Shikari,2021,"['Electronic', 'Rock']",Accepted,UK & Ireland,"['Indie Rock', 'Alternative Rock', 'Synth-pop', 'Acoustic']"
Max Morath - Max Morath Plays The Best Of Scott Joplin And Other Rag Classics,Max Morath,1972,['Jazz'],Accepted,US,['Ragtime']
Elastic Band - Love Is Life (Moratto Remix),Elastic Band,1994,['Electronic'],Accepted,Italy,['Italodance']
Max Morath - Max Morath Plays The Best Of Scott Joplin And Other Rag Classics,Max Morath,1972,['Jazz'],Accepted,US,['Ragtime']
Enter Shikari - Nothing Is True & Everything Is Possible + Moratorium (Broadcasts From The Interruption),Enter Shikari,2021,"['Electronic', 'Rock']",Accepted,Europe,"['Indie Rock', 'Alternative Rock', 'Synth-pop', 'Acoustic']"
Mahotella Queens - Tsamaya Moratuoa,Mahotella Queens,1980,"['Funk / Soul', 'Pop', 'Folk, World, & Country']",Accepted,South Africa,"['African', 'Soul']"
Jinnouchi Taizo* = 陣内大蔵* - Moratorium,Taizo Jinnouchi,1988,"['Electronic', 'Pop']",Accepted,Japan,"['New Wave', 'Synth-pop', 'Funk']"
Enter Shikari - Nothing Is True & Everything Is Possible + Moratorium (Broadcasts From The Interruption),Enter Shikari,2021,"['Electronic', 'Rock']",Accepted,UK,"['Alternative Rock', 'Indie Rock', 'Synth-pop', 'Drum n Bass', 'Electro', 'Classical', 'Acoustic']"
Morat (2) - Balas Perdidas,Morat (2),2018,"['Rock', 'Pop']",Accepted,Spain,['Pop Rock']
Troublemaker (6) - Moratorium,Troublemaker (6),2010,['Rock'],Accepted,US,['Hardcore']
Enter Shikari - Moratorium (Broadcasts From The Interruption),Enter Shikari,2021,"['Electronic', 'Rock']",Accepted,Unknown,"['Indie Rock', 'Alternative Rock', 'Synth-pop', 'Acoustic']"
Morat* - The Move EP,Murat,1998,['Electronic'],Accepted,US,"['Techno', 'Tech House']"
Morat (2) - ¿A Dónde Vamos?,Morat (2),2021,"['Latin', 'Pop']",Accepted,Spain,
Morat (2) - Balas Perdidas,Morat (2),2018,"['Rock', 'Pop']",Accepted,US,['Pop Rock']
Speedköbra / Moratory - Speedköbra / Moratory,Speedköbra,2019,['Rock'],Accepted,Germany,"['Thrash', 'Punk', 'Crust']"
Troublemaker (6) - Moratorium,Troublemaker (6),2010,['Rock'],Accepted,US,['Hardcore']
The Happy Ones - Tshidi Moratiwa,The Happy Ones,1981,"['Funk / Soul', 'Folk, World, & Country']",Accepted,South Africa,['African']
Lydia M* - Lerato Laaka Moratiwa ,Lydia Monakwane,1993,['Electronic'],Accepted,South Africa,['House']
Morat (2) - ¿A Dónde Vamos?,Morat (2),2021,"['Latin', 'Pop']",Accepted,Spain,
