Titulo,Artista,Year,Genero,Estado,pais,stilo
Rihanna - Rihanna,Rihanna,2016,"['Electronic', 'Funk / Soul', 'Pop']",Accepted,USA & Europe,"['Dance-pop', 'Hip Hop', 'Contemporary R&B']"
Rihanna - Rihanna,Rihanna,2009,"['Hip Hop', 'Rock', 'Funk / Soul', 'Pop']",Accepted,US,"['Contemporary R&B', 'Pop Rock', 'Pop Rap']"
Unknown Artist - Rihanna Born Trippy,Unknown Artist,2013,['Electronic'],Accepted,Germany,['Tech House']
Rihanna - Rihanna,Rihanna,2009,"['Hip Hop', 'Pop']",Accepted,Europe,['RnB/Swing']
Unknown Artist - Rihanna Born Trippy,Unknown Artist,2018,['Electronic'],Accepted,Germany,['Tech House']
Rihanna - This Is Rihanna (The Mixtape),Rihanna,2005,"['Hip Hop', 'Reggae', 'Funk / Soul']",Accepted,US,"['Reggae', 'Soca', 'Contemporary R&B']"
Unknown Artist - Rihanna Born Trippy,Unknown Artist,2022,['Electronic'],Accepted,Germany,"['Tech House', 'Deep House']"
The Wanted (5) - Walks Like Rihanna,The Wanted (5),2013,['Pop'],Accepted,UK,
Rihanna - Rihanna 777 Documentary... 7Countries7Days7Shows,Rihanna,2013,"['Funk / Soul', 'Pop']",Accepted,Europe,['RnB/Swing']
Rihanna - I Love Rihanna (Classic Mixes) (Volume 1),Rihanna,2018,"['Electronic', 'Hip Hop', 'Funk / Soul', 'Pop']",Accepted,UK,"['RnB/Swing', 'Hip Hop', 'Electro House', 'Dance-pop', 'Vocal', 'Disco']"
Rihanna - Pon De Replay,Rihanna,0,"['Hip Hop', 'Reggae']",Accepted,US,
Rihanna - Rihanna 777 Documentary... 7Countries7Days7Shows,Rihanna,2013,"['Funk / Soul', 'Pop']",Accepted,Brazil,['Contemporary R&B']
Rihanna - Rihanna 777 Documentary... 7Countries7Days7Shows,Rihanna,2013,['Funk / Soul'],Accepted,US,['Contemporary R&B']
DJ Madden Presents Rihanna - Rihanna Revolution,DJ Madden,2010,"['Electronic', 'Funk / Soul', 'Pop']",Accepted,US,['Synth-pop']
The Wanted (5) - Walks Like Rihanna,The Wanted (5),2013,['Pop'],Accepted,"Germany, Austria, & Switzerland",
Rihanna - Talk That Talk (The Rihanna Navy Box),Rihanna,2011,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Europe,"['Electro House', 'Contemporary R&B']"
Rihanna - Good Girl Gone Bad,Rihanna,2007,"['Hip Hop', 'Pop']",Accepted,UK,"['RnB/Swing', 'Ballad', 'Europop', 'Dance-pop']"
Rihanna - Anti,Rihanna,2016,"['Electronic', 'Hip Hop', 'Funk / Soul', 'Pop']",Accepted,US,"['Contemporary R&B', 'Soul']"
Rihanna - Anti,Rihanna,2023,"['Hip Hop', 'Funk / Soul', 'Pop']",Accepted,US,"['Contemporary R&B', 'Soul']"
Rihanna - Loud,Rihanna,2017,"['Electronic', 'Hip Hop', 'Funk / Soul', 'Pop']",Accepted,US,"['Contemporary R&B', 'Dance-pop']"
Rihanna - Rihanna,Rihanna,2009,"['Hip Hop', 'Pop']",Accepted,Australia,['RnB/Swing']
Rihanna - Good Girl Gone Bad,Rihanna,2007,"['Hip Hop', 'Funk / Soul', 'Pop']",Accepted,US,"['Contemporary R&B', 'Ballad']"
Various - Bossa N' Rihanna,Various,2017,"['Jazz', 'Latin']",Accepted,Mexico,"['Bossa Nova', 'Smooth Jazz']"
Rihanna - Anti,Rihanna,2021,"['Hip Hop', 'Funk / Soul']",Accepted,US,"['Contemporary R&B', 'Doo Wop', 'Soul']"
Rihanna - Anti,Rihanna,2016,"['Hip Hop', 'Pop']",Accepted,Germany,"['Trap', 'Contemporary R&B']"
Rihanna - Rated R,Rihanna,2017,"['Hip Hop', 'Funk / Soul']",Accepted,US,"['Pop Rap', 'Contemporary R&B']"
Rihanna - Anti,Rihanna,2016,"['Hip Hop', 'Funk / Soul']",Accepted,US,"['Contemporary R&B', 'Pop Rap']"
Rihanna - Rihanna Remixes,Rihanna,2013,"['Electronic', 'Funk / Soul', 'Pop']",Accepted,Brazil,"['Electro House', 'Tech House', 'Hip Hop']"
Rihanna - Talk That Talk,Rihanna,2017,"['Electronic', 'Hip Hop', 'Funk / Soul', 'Pop']",Accepted,US,"['Electro House', 'Contemporary R&B']"
Rihanna - Loud,Rihanna,2017,"['Hip Hop', 'Funk / Soul', 'Pop']",Accepted,Europe,['Contemporary R&B']
Nauravat Nakit - Rihanna,Nauravat Nakit,2011,"['Electronic', 'Pop']",Accepted,Finland,"['Euro House', 'Parody']"
Rihanna - Pon De Replay,Rihanna,2005,['Hip Hop'],Accepted,Europe,['Bass Music']
Rihanna - A Girl Like Me,Rihanna,2006,"['Hip Hop', 'Funk / Soul']",Accepted,US,['Contemporary R&B']
Rihanna - Unapologetic,Rihanna,2017,"['Electronic', 'Hip Hop', 'Funk / Soul', 'Pop']",Accepted,US,"['Contemporary R&B', 'Dubstep']"
Yo Gotti - Rihanna,Yo Gotti,2015,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Sweden,['Hip Hop']
Rihanna - Anti,Rihanna,2023,"['Hip Hop', 'Funk / Soul', 'Pop']",Accepted,US,"['Contemporary R&B', 'Soul']"
Rihanna - Rated R,Rihanna,2017,"['Hip Hop', 'Funk / Soul']",Accepted,Europe,"['Pop Rap', 'Contemporary R&B']"
Rihanna - Music Of The Sun (Album Sampler),Rihanna,2005,"['Hip Hop', 'Reggae']",Accepted,UK,"['RnB/Swing', 'Ragga HipHop', 'Reggae-Pop']"
Rihanna - Loud,Rihanna,2010,"['Hip Hop', 'Funk / Soul', 'Pop']",Accepted,Europe,['Contemporary R&B']
Rihanna - Music Of The Sun,Rihanna,2005,"['Hip Hop', 'Pop']",Accepted,Ukraine,"['RnB/Swing', 'Ragga HipHop', 'Reggae-Pop']"
Rihanna - Anti,Rihanna,2021,"['Hip Hop', 'Funk / Soul', 'Pop']",Accepted,US,"['Contemporary R&B', 'Soul']"
Rihanna - Rihanna 777 Documentary... 7Countries7Days7Shows,Rihanna,2013,"['Funk / Soul', 'Pop']",Accepted,Brazil,['Contemporary R&B']
Rihanna - Good Girl Gone Bad,Rihanna,2017,"['Hip Hop', 'Pop']",Accepted,Europe,"['Ballad', 'Contemporary R&B']"
Rihanna - Anti,Rihanna,2016,"['Hip Hop', 'Pop']",Accepted,UK & Europe,"['RnB/Swing', 'Contemporary R&B']"
Rihanna - Loud,Rihanna,2021,"['Hip Hop', 'Funk / Soul', 'Pop']",Accepted,US,['Contemporary R&B']
Rihanna - Talk That Talk,Rihanna,2017,"['Electronic', 'Hip Hop', 'Funk / Soul', 'Pop']",Accepted,Europe,"['Electro House', 'Contemporary R&B']"
Rihanna - Unapologetic,Rihanna,2017,"['Electronic', 'Hip Hop', 'Funk / Soul', 'Pop']",Accepted,Europe,"['Dubstep', 'Contemporary R&B']"
Rihanna - Talk That Talk,Rihanna,2011,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Europe,"['Electro House', 'Contemporary R&B']"
Rihanna - Good Girl Gone Bad,Rihanna,2007,"['Electronic', 'Hip Hop', 'Rock', 'Funk / Soul', 'Pop']",Accepted,Europe,"['Contemporary R&B', 'Europop', 'Dance-pop', 'Pop Rock', 'Ballad']"
Rihanna - Rihanna 777 Documentary... 7Countries7Days7Shows,Rihanna,2013,"['Funk / Soul', 'Pop']",Accepted,Mexico,['RnB/Swing']
