Titulo,Artista,Year,Genero,Estado,pais,stilo
Vanderbuyst - Shakira,Vanderbuyst,2014,['Rock'],Accepted,Germany,['Hard Rock']
Los Beta 5 - Tu Gua Gua / Shakira,Los Beta 5,1972,"['Latin', 'Funk / Soul']",Accepted,Peru,"['Cumbia', 'Psychedelic']"
Shakira - She Wolf,Shakira,2009,['Electronic'],Accepted,France,"['House', 'Disco']"
Shakira - Laundry Service,Shakira,2021,"['Latin', 'Pop']",Accepted,US,
Shakira - Pies Descalzos,Shakira,2022,"['Rock', 'Latin', 'Pop']",Accepted,Mexico,"['Pop Rock', 'Euro House']"
Shakira - She Wolf,Shakira,2021,"['Electronic', 'Hip Hop', 'Latin', 'Pop']",Accepted,US,['Latin']
Shakira - Laundry Service,Shakira,2021,"['Latin', 'Pop']",Accepted,US,
Shakira - Laundry Service,Shakira,2022,"['Latin', 'Pop']",Accepted,Europe,
Shakira - MTV Unplugged,Shakira,2021,"['Rock', 'Latin', 'Pop']",Accepted,US,['Pop Rock']
Shakira - Dónde Están Los Ladrones?,Shakira,2021,"['Rock', 'Latin', 'Pop']",Accepted,US,"['Pop Rock', 'Vocal']"
Shakira - Oral Fixation Vol. 2,Shakira,2021,"['Latin', 'Pop']",Accepted,US,
Shakira - Pies Descalzos,Shakira,1995,"['Latin', 'Pop']",Accepted,Colombia,
"Shakira - Whenever, Wherever",Shakira,2002,"['Electronic', 'Pop']",Accepted,Italy,['House']
"Shakira - Whenever, Wherever",Shakira,2002,"['Electronic', 'Pop']",Accepted,Europe,['House']
Shakira - Dónde Están Los Ladrones?,Shakira,2022,"['Rock', 'Latin', 'Pop']",Accepted,Mexico,"['Pop Rock', 'Vocal']"
Shakira - Magia,Shakira,1991,"['Latin', 'Pop']",Accepted,Colombia,['Latin Pop']
Shakira - Fijación Oral Vol. 1 / Oral Fixation Vol. 2,Shakira,2022,"['Rock', 'Latin', 'Pop']",Accepted,Mexico,['Pop Rock']
Shakira - MTV Unplugged,Shakira,2022,"['Rock', 'Latin', 'Pop']",Accepted,Mexico,['Pop Rock']
Shakira - Estoy Aqui (The Remixes),Shakira,1996,['Electronic'],Accepted,Spain,"['House', 'Latin']"
Shakira - Peligro,Shakira,1993,"['Rock', 'Latin', 'Pop']",Accepted,Colombia,['Latin Pop']
Shakira - Objection (Tango),Shakira,2002,"['Electronic', 'Latin']",Accepted,Netherlands,"['House', 'Latin', 'Tango', 'Italodance']"
Shakira - Estoy Aqui (The Remixes),Shakira,1996,['Electronic'],Accepted,Colombia,"['House', 'Latin']"
Shakira - Ojos Así,Shakira,1999,"['Latin', 'Pop', 'Folk, World, & Country']",Accepted,Europe,"['Latin', 'Tribal House']"
"Shakira - Whenever, Wherever",Shakira,2001,['Rock'],Accepted,US,['Pop Rock']
Shakira - La Tortura,Shakira,2005,"['Latin', 'Pop']",Accepted,US,['Reggaeton']
Shakira - Loca,Shakira,2011,"['Electronic', 'Latin']",Accepted,France,"['Latin', 'House', 'Merengue']"
Shakira - Peligro,Shakira,1993,"['Latin', 'Pop']",Accepted,Ecuador,
Shakira - Underneath Your Clothes,Shakira,2002,"['Electronic', 'Rock', 'Pop']",Accepted,Netherlands,"['Pop Rock', 'House', 'Drum n Bass']"
Shakira - She Wolf,Shakira,2009,['Electronic'],Accepted,UK,"['House', 'Disco']"
Shakira - Loca (Part 2),Shakira,2010,"['Hip Hop', 'Latin', 'Pop']",Accepted,France,"['RnB/Swing', 'Reggaeton', 'Merengue']"
Shakira - She Wolf (Remixes),Shakira,2009,['Electronic'],Accepted,France,"['House', 'Latin']"
Shakira - Waka Waka / Did It Again   Part 1,Shakira,2010,['Electronic'],Accepted,France,['House']
Shakira - Un Poco De Amor (Remixes),Shakira,1997,"['Electronic', 'Funk / Soul']",Accepted,Europe,"['Latin', 'Downtempo']"
