"fecha","AQI_SO2","AQI_NO2","AQI_PM10","AQI_CO","AQI_O3","ciudad","AQI","Nivel_Aire"
"2013-10-1",7,36,85,22,21,"Aotizhongxin",85,"Good"
"2013-10-10",26,27,92,17,21,"Aotizhongxin",92,"Good"
"2013-10-11",18,37,72,27,43,"Aotizhongxin",72,"Good"
"2013-10-12",3,41,66,13,37,"Aotizhongxin",66,"Good"
"2013-10-13",4,32,51,14,25,"Aotizhongxin",51,"Good"
"2013-10-14",2,24,35,11,17,"Aotizhongxin",35,"Excelent"
"2013-10-15",3,25,24,8,25,"Aotizhongxin",25,"Excelent"
"2013-10-16",4,34,64,13,29,"Aotizhongxin",64,"Good"
"2013-10-17",12,48,108,18,26,"Aotizhongxin",108,"Slightly Polluted"
"2013-10-18",22,65,150,30,11,"Aotizhongxin",150,"Slightly Polluted"
"2013-10-19",9,24,56,25,22,"Aotizhongxin",56,"Good"
"2013-10-2",3,20,28,5,46,"Aotizhongxin",46,"Excelent"
"2013-10-20",4,27,41,9,25,"Aotizhongxin",41,"Excelent"
"2013-10-21",11,42,96,11,0,"Aotizhongxin",96,"Good"
"2013-10-22",19,37,78,11,26,"Aotizhongxin",78,"Good"
"2013-10-23",4,22,57,8,26,"Aotizhongxin",57,"Good"
"2013-10-24",2,13,38,6,40,"Aotizhongxin",40,"Excelent"
"2013-10-25",6,29,55,16,37,"Aotizhongxin",55,"Good"
"2013-10-26",9,36,70,21,36,"Aotizhongxin",70,"Good"
"2013-10-27",19,63,136,36,6,"Aotizhongxin",136,"Slightly Polluted"
"2013-10-28",26,61,174,57,44,"Aotizhongxin",174,"Lightly Polluted"
"2013-10-29",8,23,45,52,31,"Aotizhongxin",52,"Good"
"2013-10-3",17,31,69,28,38,"Aotizhongxin",69,"Good"
"2013-10-30",8,39,78,19,27,"Aotizhongxin",78,"Good"
"2013-10-31",8,47,98,22,22,"Aotizhongxin",98,"Good"
"2013-10-4",26,46,108,34,79,"Aotizhongxin",108,"Slightly Polluted"
"2013-10-5",16,57,173,29,87,"Aotizhongxin",173,"Lightly Polluted"
"2013-10-6",25,50,141,29,25,"Aotizhongxin",141,"Slightly Polluted"
"2013-10-7",24,30,69,23,32,"Aotizhongxin",69,"Good"
"2013-10-8",17,29,67,14,38,"Aotizhongxin",67,"Good"
"2013-10-9",25,48,115,19,16,"Aotizhongxin",115,"Slightly Polluted"
"2013-11-1",16,48,118,19,15,"Aotizhongxin",118,"Slightly Polluted"
"2013-11-10",5,10,29,7,29,"Aotizhongxin",29,"Excelent"
"2013-11-11",10,21,43,9,22,"Aotizhongxin",43,"Excelent"
"2013-11-12",11,21,50,21,26,"Aotizhongxin",50,"Excelent"
"2013-11-13",45,65,162,44,1,"Aotizhongxin",162,"Lightly Polluted"
"2013-11-14",7,12,53,7,28,"Aotizhongxin",53,"Good"
"2013-11-15",19,44,107,20,8,"Aotizhongxin",107,"Slightly Polluted"
"2013-11-16",6,11,56,36,30,"Aotizhongxin",56,"Good"
"2013-11-17",5,10,18,6,29,"Aotizhongxin",29,"Excelent"
"2013-11-18",5,13,13,6,26,"Aotizhongxin",26,"Excelent"
"2013-11-19",7,14,30,10,16,"Aotizhongxin",30,"Excelent"
"2013-11-2",11,68,168,23,20,"Aotizhongxin",168,"Lightly Polluted"
"2013-11-20",7,17,35,12,19,"Aotizhongxin",35,"Excelent"
"2013-11-21",31,33,82,44,8,"Aotizhongxin",82,"Good"
"2013-11-22",41,54,119,49,9,"Aotizhongxin",119,"Slightly Polluted"
"2013-11-23",37,57,132,55,7,"Aotizhongxin",132,"Slightly Polluted"
"2013-11-24",17,26,108,62,18,"Aotizhongxin",108,"Slightly Polluted"
"2013-11-25",6,14,24,16,25,"Aotizhongxin",25,"Excelent"
"2013-11-26",6,12,46,31,26,"Aotizhongxin",46,"Excelent"
"2013-11-27",2,5,36,4,24,"Aotizhongxin",36,"Excelent"
"2013-11-28",6,15,36,20,25,"Aotizhongxin",36,"Excelent"
"2013-11-29",15,37,70,37,16,"Aotizhongxin",70,"Good"
"2013-11-3",4,15,16,6,34,"Aotizhongxin",34,"Excelent"
"2013-11-30",17,24,52,24,24,"Aotizhongxin",52,"Good"
"2013-11-4",8,28,57,13,27,"Aotizhongxin",57,"Good"
"2013-11-5",29,50,124,19,5,"Aotizhongxin",124,"Slightly Polluted"
"2013-11-6",4,11,65,24,31,"Aotizhongxin",65,"Good"
"2013-11-7",6,18,51,24,19,"Aotizhongxin",51,"Good"
"2013-11-9",12,14,53,12,22,"Aotizhongxin",53,"Good"
"2013-12-1",20,37,71,22,13,"Aotizhongxin",71,"Good"
"2013-12-10",7,14,34,16,27,"Aotizhongxin",34,"Excelent"
"2013-12-11",8,20,31,15,17,"Aotizhongxin",31,"Excelent"
"2013-12-12",8,16,26,15,25,"Aotizhongxin",26,"Excelent"
"2013-12-13",16,25,58,15,15,"Aotizhongxin",58,"Good"
"2013-12-14",9,18,30,9,11,"Aotizhongxin",30,"Excelent"
"2013-12-19",17,29,61,29,16,"Aotizhongxin",61,"Good"
"2013-12-2",32,42,90,51,1,"Aotizhongxin",90,"Good"
"2013-12-20",20,30,54,31,27,"Aotizhongxin",54,"Good"
"2013-12-21",24,35,63,29,18,"Aotizhongxin",63,"Good"
"2013-12-22",37,48,104,56,10,"Aotizhongxin",104,"Slightly Polluted"
"2013-12-23",42,49,114,56,16,"Aotizhongxin",114,"Slightly Polluted"
"2013-12-24",63,64,158,70,2,"Aotizhongxin",158,"Lightly Polluted"
"2013-12-25",48,50,150,69,26,"Aotizhongxin",150,"Slightly Polluted"
"2013-12-26",6,10,24,8,26,"Aotizhongxin",26,"Excelent"
"2013-12-27",12,18,22,10,23,"Aotizhongxin",23,"Excelent"
"2013-12-3",24,32,77,52,25,"Aotizhongxin",77,"Good"
"2013-12-30",27,47,85,19,0,"Aotizhongxin",85,"Good"
"2013-12-31",14,26,140,31,31,"Aotizhongxin",140,"Slightly Polluted"
"2013-12-4",23,36,77,42,12,"Aotizhongxin",77,"Good"
"2013-12-5",16,22,52,41,26,"Aotizhongxin",52,"Good"
"2013-12-6",28,39,100,46,3,"Aotizhongxin",100,"Good"
"2013-12-7",45,53,166,83,1,"Aotizhongxin",166,"Lightly Polluted"
"2013-12-8",42,43,139,76,21,"Aotizhongxin",139,"Slightly Polluted"
"2013-12-9",6,13,13,11,25,"Aotizhongxin",25,"Excelent"
"2013-3-1",6,11,10,7,36,"Aotizhongxin",36,"Excelent"
"2013-3-10",12,25,57,15,40,"Aotizhongxin",57,"Good"
"2013-3-11",47,45,112,26,40,"Aotizhongxin",112,"Slightly Polluted"
"2013-3-12",14,36,81,21,22,"Aotizhongxin",81,"Good"
"2013-3-13",9,18,18,8,36,"Aotizhongxin",36,"Excelent"
"2013-3-14",28,35,77,17,36,"Aotizhongxin",77,"Good"
"2013-3-15",41,50,148,32,25,"Aotizhongxin",148,"Slightly Polluted"
"2013-3-16",39,45,150,33,44,"Aotizhongxin",150,"Slightly Polluted"
"2013-3-17",40,58,178,35,52,"Aotizhongxin",178,"Lightly Polluted"
"2013-3-18",11,23,82,41,52,"Aotizhongxin",82,"Good"
"2013-3-19",9,23,48,12,17,"Aotizhongxin",48,"Excelent"
"2013-3-2",20,33,39,17,25,"Aotizhongxin",39,"Excelent"
"2013-3-20",7,21,44,13,33,"Aotizhongxin",44,"Excelent"
"2013-3-21",12,43,104,19,12,"Aotizhongxin",104,"Slightly Polluted"
"2013-3-22",14,35,95,17,31,"Aotizhongxin",95,"Good"
"2013-3-23",7,42,65,15,2,"Aotizhongxin",65,"Good"
"2013-3-25",26,41,103,14,39,"Aotizhongxin",103,"Slightly Polluted"
"2013-3-26",40,53,149,29,22,"Aotizhongxin",149,"Slightly Polluted"
"2013-3-27",12,19,71,14,43,"Aotizhongxin",71,"Good"
"2013-3-28",7,20,50,15,42,"Aotizhongxin",50,"Excelent"
"2013-3-29",24,44,93,33,23,"Aotizhongxin",93,"Good"
"2013-3-3",33,41,83,28,36,"Aotizhongxin",83,"Good"
"2013-3-30",34,34,79,28,36,"Aotizhongxin",79,"Good"
"2013-3-31",8,36,120,17,4,"Aotizhongxin",120,"Slightly Polluted"
"2013-3-4",13,25,42,13,40,"Aotizhongxin",42,"Excelent"
"2013-3-5",51,69,115,43,40,"Aotizhongxin",115,"Slightly Polluted"
"2013-3-6",62,74,157,42,13,"Aotizhongxin",157,"Lightly Polluted"
"2013-3-7",53,77,181,56,40,"Aotizhongxin",181,"Lightly Polluted"
"2013-3-8",36,57,153,51,40,"Aotizhongxin",153,"Lightly Polluted"
"2013-3-9",19,23,129,26,39,"Aotizhongxin",129,"Slightly Polluted"
"2013-4-1",9,20,79,33,49,"Aotizhongxin",79,"Good"
"2013-4-10",4,16,28,9,39,"Aotizhongxin",39,"Excelent"
"2013-4-11",6,33,57,13,43,"Aotizhongxin",57,"Good"
"2013-4-12",13,46,90,11,42,"Aotizhongxin",90,"Good"
"2013-4-13",15,27,91,13,40,"Aotizhongxin",91,"Good"
"2013-4-14",8,21,78,17,44,"Aotizhongxin",78,"Good"
"2013-4-15",28,37,114,24,47,"Aotizhongxin",114,"Slightly Polluted"
"2013-4-16",18,24,108,14,48,"Aotizhongxin",108,"Slightly Polluted"
"2013-4-17",11,26,68,11,39,"Aotizhongxin",68,"Good"
"2013-4-18",2,12,40,5,41,"Aotizhongxin",41,"Excelent"
"2013-4-19",11,28,66,13,34,"Aotizhongxin",66,"Good"
"2013-4-2",21,34,92,22,82,"Aotizhongxin",92,"Good"
"2013-4-20",6,28,65,9,55,"Aotizhongxin",65,"Good"
"2013-4-21",5,39,94,10,12,"Aotizhongxin",94,"Good"
"2013-4-22",29,39,121,17,23,"Aotizhongxin",121,"Slightly Polluted"
"2013-4-23",15,31,119,16,18,"Aotizhongxin",119,"Slightly Polluted"
"2013-4-24",8,20,81,18,44,"Aotizhongxin",81,"Good"
"2013-4-25",3,20,36,9,42,"Aotizhongxin",42,"Excelent"
"2013-4-26",18,39,97,17,98,"Aotizhongxin",98,"Good"
"2013-4-27",23,27,88,12,112,"Aotizhongxin",112,"Slightly Polluted"
"2013-4-28",30,30,82,25,49,"Aotizhongxin",82,"Good"
"2013-4-29",3,14,54,7,52,"Aotizhongxin",54,"Good"
"2013-4-3",28,44,125,32,65,"Aotizhongxin",125,"Slightly Polluted"
